normalize_text,emotion,source,skor
aku percaya bahwa kita bisa saling mendukung dalam setiap langkah,trust,huggingface,
kesel maksimal biaya hidup makin tinggi tapi gaji tidak naiknaik,anger,huggingface,
rasanya ingin segera mulai ibadah yang khusus di hari suci nanti,anticipation,huggingface,
gugup tiap kali mikirin betapa spesialnya hari suci yang akan datang,anticipation,huggingface,
marah banget karena buku ini tidak ada penyelesaian untuk semua konflik yang dibangun,anger,huggingface,
berhasil menyelesaikan laporan kerja bikin hatiku tenang dan bahagia,joy,huggingface,
aku percaya kita akan terus bersatu meski ada rintangan,trust,huggingface,
aku takut kalau aku tidak akan pernah bisa menemukan jalan yang benar dalam hidupku,fear,huggingface,
aku bahagia karena bisa merasakan kehangatan dari sinar matahari pagi,joy,huggingface,
kepercayaan ini adalah dasar dari setiap impian yang kita bangun bersama,trust,huggingface,
sulit untuk melupakan semua kenangan dari hubungan yang dulu pernah indah,sadness,huggingface,
kepercayaan adalah pondasi yang membuat hubungan ini tetap kokoh,trust,huggingface,
rasa takut ini begitu kuat hingga aku merasa tidak punya kendali atas apa pun,fear,huggingface,
rasa takut ini seperti rantai yang mengikat aku pada ketidakpastian,fear,huggingface,
sulit menerima kenyataan kalau ketidakadilan terus terjadi tanpa ada yang peduli,sadness,huggingface,
kehilangan sesuatu yang udah jadi bagian hidup itu benarbenar menghancurkan,sadness,huggingface,
aku takut tidak akan pernah bisa keluar dari rasa takut ini,fear,huggingface,
kepergian ibu meninggalkan kesedihan yang mendalam,sadness,huggingface,
rasanya setiap menit bikin aku makin gugup karena semakin dekat waktunya,anticipation,huggingface,
bahagia itu adalah ketika bisa menemukan kedamaian di tengah kesibukan,joy,huggingface,
rasa takut ini begitu besar hingga membuatku merasa tidak ada yang bisa membantu aku,fear,huggingface,
rasanya bahagia banget bisa menyelesaikan tugas yang sempat tertunda di kantor,joy,huggingface,
jijik lihat orang yang tidak sikat gigi tapi langsung makan,disgust,huggingface,
kadang ingin nyerah aja setelah kegagalan yang terusterusan,sadness,huggingface,
aku percaya kamu akan selalu membimbingku dengan cara yang baik,trust,huggingface,
setiap pengalaman yang kita lalui bersama menambah kepercayaan ini semakin dalam,trust,huggingface,
aku merasa sangat takut untuk menghadapi kenyataan yang tidak aku inginkan,fear,huggingface,
takut dikecewain lagi makanya jadi ragu buat percaya,fear,huggingface,
ngitung hari terus karena tidak sabar lihat bagaimana perubahan ini berjalan,anticipation,huggingface,
tidak habis pikir kenapa keinginan ini selalu jauh dari genggaman padahal aku sudah berusaha,anger,huggingface,
bahagia itu ketika bisa menikmati makanan favorit setelah lama menantikannya,joy,huggingface,
aku yakin kamu akan selalu memberi yang terbaik dalam hubungan ini,trust,huggingface,
tidak habis pikir kenapa barang yang aku beli cepat banget rusak,anger,huggingface,
gak ada yang lebih menyakitkan dari kegagalan yang terus berulang,sadness,huggingface,
serius  kenapa orang suka buang sampah sembarangan di bioskop,disgust,huggingface,
aku takut kalau semua orang akan meninggalkan aku karena aku tidak cukup baik,fear,huggingface,
tidak sabar buat memulai hidup baru dengan perubahan besar ini,anticipation,huggingface,
aku merasa jijik banget lihat orang buang sampah dari jendela mobil,disgust,huggingface,
rasanya seperti tidak ada hari tanpa perasaan takut yang terus muncul,fear,huggingface,
rasanya tidak sabar buat menyambut kabar besar yang akan datang,anticipation,huggingface,
ingin cepat sampai ke hari yang penuh makna bagi kami berdua,anticipation,huggingface,
tidak sabar buat presentasi di depan tim besok semoga lancar,anticipation,huggingface,
udah tidak sabar menanti rilis film favorit bulan depan,anticipation,huggingface,
kesel maksimal kenapa dunia ini begitu kejam sama orangorang yang tidak bersalah,anger,huggingface,
jijik lihat orang meludah sembarangan di tempat umum,disgust,huggingface,
aku takut semua ini akan berakhir buruk dan aku tidak tahu harus bagaimana,fear,huggingface,
kesel maksimal karena hidup selalu membuatku merasa sendirian dalam menghadapi semuanya,anger,huggingface,
setiap kata yang kamu ucapkan selalu membangkitkan semangatku,trust,huggingface,
aku merasa sangat jijik lihat serangga di kamar mandi umum tidak bisa tahan lama di sana,disgust,huggingface,
kenapa ya ada orang yang tidak peduli sama kebersihan rumahnya,disgust,huggingface,
sebenarnya mau maju tapi rasa takut gagal selalu bikin mundur lagi,fear,huggingface,
aku takut membuat keputusan yang salah dan menyesalinya selamanya,fear,huggingface,
gak tau harus bagaimana lagi semuanya serba mahal tapi pendapatan segitugitu aja,sadness,huggingface,
aku merasa sangat bahagia karena tugas yang aku kerjakan mendapat feedback positif,joy,huggingface,
bau mulut orang pas lagi bicara deket banget,disgust,huggingface,
hari ini berhasil menyelesaikan semua pekerjaan dengan baik rasanya bahagia banget,joy,huggingface,
aku merasa takut setiap kali memikirkan apa yang akan terjadi ke depannya,fear,huggingface,
rasanya bahagia bisa makan makanan sehat yang bikin tubuh terasa segar,joy,huggingface,
kadang takut mimpi terlalu tinggi takut kalau nanti tidak bisa mencapainya,fear,huggingface,
gak ada yang bisa bikin aku merasa lebih baik,sadness,huggingface,
aku percaya bahwa kita akan menemukan cara terbaik untuk menyelesaikan setiap masalah,trust,huggingface,
sering takut buat mengambil risiko karena takut hasilnya tidak sesuai harapan,fear,huggingface,
aku merasa takut setiap kali harus membuat keputusan penting,fear,huggingface,
ingin cepat tahu hasil lukisan yang aku buat minggu ini,anticipation,huggingface,
takut banget kalau ternyata aku salah ambil keputusan dan tidak bisa memperbaikinya,fear,huggingface,
rasanya ingin tahu sekarang juga apakah aku bisa mencapai impian ini,anticipation,huggingface,
rasa takut bikin aku sering nunda hal penting yang seharusnya bisa diselesaikan sekarang,fear,huggingface,
nginjek pecahan kaca di pantai,disgust,huggingface,
marah banget karena kamu selalu bikin aku ngerasa tidak dihargai,anger,huggingface,
pikiranku terus ke dia tidak sabar ingin ngobrol dan ketawa bareng lagi,anticipation,huggingface,
rasa takut bikin aku lebih milih bertahan di tempat yang aman,fear,huggingface,
aku bahagia karena hari ini bisa menyelesaikan semua tugas yang ada di daftar,joy,huggingface,
jijik lihat orang makan sambil batukbatuk tanpa tutup mulut,disgust,huggingface,
sering takut kalau gagal padahal kegagalan itu bagian dari proses,fear,huggingface,
marah banget sama situasi ini udah tidak bisa ditolerir lagi,anger,huggingface,
kepercayaan ini adalah kekuatan yang membuat kita mampu mengatasi semua hal,trust,huggingface,
kamu selalu ada di sisiku dan itu membuatku semakin percaya padamu,trust,huggingface,
rasa takut ini begitu kuat hingga membuatku merasa sangat tidak berdaya,fear,huggingface,
kesel banget karena usaha keras selama ini buat capai keinginan cuma berujung kegagalan,anger,huggingface,
aku takut kalau aku akan gagal dalam segala hal yang aku coba,fear,huggingface,
aku jijik dengan cara orang ini memperlakukan tempat kerjanya seperti tempat pembuangan sampah,disgust,huggingface,
tidak habis pikir kenapa lawan selalu curang dan main tidak sportif,anger,huggingface,
marah banget karena semua yang aku impikan selalu berakhir dengan kegagalan,anger,huggingface,
waktu kayaknya jalan lambat banget karena aku tidak tahan nunggu kabar ini,anticipation,huggingface,
lihat orang cuci baju di sungai yang kotor,disgust,huggingface,
kesel banget udah nunggu lama tapi barang yang datang malah cacat,anger,huggingface,
ingin lari dari semua tapi gak tau harus ke mana,sadness,huggingface,
bermain game vr bikin pengalaman gaming semakin nyata dan membahagiakan,joy,huggingface,
aku tidak pernah meragukanmu karena kepercayaan ini menguatkan kita,trust,huggingface,
aku tidak pernah merasa ragu karena kamu selalu membuktikan diri,trust,huggingface,
aku percaya kamu adalah orang yang tepat untuk bersamaku,trust,huggingface,
tidak habis pikir kenapa hidup ini tidak pernah kasih aku jalan yang mudah,anger,huggingface,
jijik lihat orang buang ingus di tempat umum,disgust,huggingface,
gugup tiap kali mikirin hari besar saat aku dan dia akan bersumpah setia,anticipation,huggingface,
hubungan ini meninggalkan luka yang dalam banget di hati,sadness,huggingface,
benerbener bikin emosi kenapa orang bisa sebegitu tidak pedulinya,anger,huggingface,
rasa takut ini membuatku merasa seperti tidak ada tempat yang aman di dunia ini,fear,huggingface,
semakin dekat dengan momen besar semakin tidak bisa berhenti mikirin,anticipation,huggingface,
takut kalau apa yang aku perjuangkan selama ini ternyata tidak berarti apaapa,fear,huggingface,
gak ada yang lebih menyakitkan selain gagal setelah berjuang begitu lama,sadness,huggingface,
nemu cicak di gelas minum,disgust,huggingface,
masih gak bisa move on dari kepergian ibu yang begitu tibatiba,sadness,huggingface,
rasa takut bikin aku sering ngerasa stuck dan tidak bisa maju kemanamana,fear,huggingface,
setiap tindakanmu menunjukkan betapa tulusnya hatimu,trust,huggingface,
rasanya sangat bahagia ketika bisa menikmati waktu di pantai dengan angin yang sejuk,joy,huggingface,
marah banget karena barang yang aku pesan tidak lengkap isinya,anger,huggingface,
serius  kenapa kamar ini penuh dengan debu dan tidak pernah dibersihin,disgust,huggingface,
tidak sabar ketemu sama orang spesial minggu depan,anticipation,huggingface,
gugup nunggu hasil tes yang keluar minggu depan,anticipation,huggingface,
terkadang ngerasa gak ada tempat buat orang yang jujur di dunia yang penuh ketidakadilan ini,sadness,huggingface,
bahagia itu ketika bisa mendapatkan kabar baik setelah menunggu sekian lama,joy,huggingface,
aku percaya kita bisa menjadi lebih baik bersama,trust,huggingface,
kadang aku bertanya kapan semua rasa sedih ini akan berakhir,sadness,huggingface,
aku merasa bahagia ketika bisa berbuat baik kepada orang lain tanpa mengharapkan imbalan,joy,huggingface,
aku tidak tahan sama kondisi kantor yang tidak pernah dibersihkan penuh debu di manamana,disgust,huggingface,
sulit menjalani harihari tanpa dia di sini,sadness,huggingface,
marah banget kenapa kesalahan kecil bisa menghancurkan segalanya,anger,huggingface,
kesel banget karena twist di akhir malah ngerusak semua yang udah dibangun sebelumnya,anger,huggingface,
gak ada yang lebih menyedihkan daripada hidup di dunia yang penuh kebohongan dan kekejaman,sadness,huggingface,
kepercayaan ini menguatkan komitmen kita untuk selalu bersama,trust,huggingface,
rasanya tidak sabar buat ngobrol dan ketawa bareng dia lagi,anticipation,huggingface,
makan hidangan pedas favorit bikin aku merasa bahagia dan puas,joy,huggingface,
rasanya makin hari makin berat gak ada ruang buat bernapas karena masalah ekonomi,sadness,huggingface,
gak ada yang lebih menyakitkan daripada menjadi korban ketidakadilan,sadness,huggingface,
serius kenapa ada orang yang tidak peduli sama kebersihan kamarnya,disgust,huggingface,
aku takut bahwa semua yang aku impikan tidak akan pernah menjadi kenyataan,fear,huggingface,
jijik lihat lantai kamar mandi umum yang penuh lumut,disgust,huggingface,
gugup nunggu evaluasi performa triwulan semoga hasilnya memuaskan,anticipation,huggingface,
rasanya gugup banget nunggu apakah perubahan ini akan sukses atau tidak,anticipation,huggingface,
rasa percaya ini adalah dasar dari semua yang kita bangun bersama,trust,huggingface,
kadang ngerasa hubungan ini terlalu sulit untuk dipahami,sadness,huggingface,
rasanya ingin cepat mewujudkan keinginan yang sudah lama aku impikan,anticipation,huggingface,
rasanya ingin cepat merasakan ketenangan jiwa di hari suci ini,anticipation,huggingface,
tidak tahan lagi sama frustrasi yang terus muncul setiap kali ngejalanin hobiku,anger,huggingface,
rasa takut ini seperti menghantui setiap keputusan yang aku buat,fear,huggingface,
rasanya seperti mimpi buruk yang gak pernah berakhir,sadness,huggingface,
aku percaya kita bisa mengatasi semua masalah dengan komunikasi yang baik,trust,huggingface,
kesel banget karena orang lain bisa capai keinginan mereka tapi aku selalu gagal,anger,huggingface,
tidak habis pikir kenapa konflik utama di buku ini diselesaikan dengan cara yang tidak memuaskan,anger,huggingface,
kebahagiaan itu saat melihat hasil dari kerja keras yang selama ini diupayakan,joy,huggingface,
semakin dekat sama hari besar rasanya makin gugup dan senang,anticipation,huggingface,
perasaan percaya ini membuat semua tantangan jadi terasa lebih ringan,trust,huggingface,
aku merasa bahagia saat bisa melihat pelangi setelah hujan deras,joy,huggingface,
marah banget karena selalu disalahkan untuk kesalahan yang bukan aku buat,anger,huggingface,
kesel banget karena kualitas barang ini tidak sesuai harga yang aku bayarkan,anger,huggingface,
tidak sabar buat pelukan pertama setelah lama tidak ketemu,anticipation,huggingface,
kenapa ya ada orang yang tidak pernah ganti sprei kasur bikin jijik,disgust,huggingface,
rasanya waktu berjalan lambat banget karena aku terus nunggu dia,anticipation,huggingface,
aku tidak paham kenapa orang bisa cuek dengan kondisi kamar mereka yang super kotor,disgust,huggingface,
aku yakin kita bisa menghadapi semua ini bersama,trust,huggingface,
aku bahagia karena bisa menyelesaikan semua tantangan dengan baik hari ini,joy,huggingface,
ketidakadilan ini bikin aku mulai meragukan arti keadilan itu sendiri,sadness,huggingface,
rasanya bahagia banget bisa menikmati hari tanpa beban dan kekhawatiran,joy,huggingface,
kepercayaan ini adalah kekuatan yang menggerakkan kita menuju tujuan yang lebih besar,trust,huggingface,
gugup nunggu evaluasi performa bulan ini semoga hasilnya bagus,anticipation,huggingface,
setiap kali ngelihat jam rasanya makin tidak sabar nunggu besok,anticipation,huggingface,
rasanya gugup banget buat ketemu dia setelah sekian lama,anticipation,huggingface,
aku merasa sangat takut setiap kali harus menghadapi kenyataan yang sulit,fear,huggingface,
tidak bisa tenang sama sekali menunggu jawaban penting yang mungkin keluar kapan saja,anticipation,huggingface,
tidak bisa sabar lagi nunggu hasil evaluasi yang akan keluar minggu ini,anticipation,huggingface,
tidak tahan lagi dengan kenyataan bahwa keinginan ini kayaknya tidak mungkin tercapai,anger,huggingface,
tidak habis pikir kenapa barang ini punya banyak cacat produksi tapi tetap dijual,anger,huggingface,
setiap pengalaman bersamamu membangun kepercayaan ini semakin dalam,trust,huggingface,
rasanya bahagia bisa menikmati camilan sore sambil ngobrol santai dengan temanteman,joy,huggingface,
tidak tahu lagi harus bagaimana hari ini cuma bikin kesel terus,anger,huggingface,
kebahagiaan adalah ketika bisa tertawa lepas tanpa memikirkan masalah yang ada,joy,huggingface,
tidak ada ragu sedikit pun aku sepenuhnya percaya padamu,trust,huggingface,
mengerjakan tugas sambil menikmati suasana tenang bikin aku merasa bahagia,joy,huggingface,
rasanya hancur ketika semua pengorbanan gak membuahkan hasil,sadness,huggingface,
semua orang bilang sabar tapi rasanya berat banget hidup dengan kondisi keuangan seperti ini,sadness,huggingface,
kebiasaan orang membuang puntung rokok sembarangan sangat tidak sopan,disgust,huggingface,
aku merasa sangat bahagia ketika proyek yang aku tangani berjalan dengan lancar,joy,huggingface,
gugup banget nunggu langkah terakhir menuju keinginanku,anticipation,huggingface,
gugup nunggu momen indah saat semuanya terasa lebih bermakna di hari suci,anticipation,huggingface,
rasa takut ini membuatku merasa sangat kecil dan tidak berarti,fear,huggingface,
setiap hari melihat kejahatan yang gak ada habisnya di dunia ini bikin hati ini sakit,sadness,huggingface,
aku tidak pernah merasa ragu karena kepercayaan ini sudah terjalin kuat,trust,huggingface,
kepercayaanmu membuatku merasa diberdayakan dan lebih yakin pada diriku sendiri,trust,huggingface,
rasanya bahagia bisa menyelesaikan proyek besar di kantor dengan hasil yang memuaskan,joy,huggingface,
kadang takut kalau ternyata apa yang aku inginkan tidak sesuai sama kenyataan,fear,huggingface,
takut banget kalau suatu hari nanti aku tidak bisa mencapai apa yang aku inginkan,fear,huggingface,
jijik lihat orang tidak cuci kaki sebelum tidur,disgust,huggingface,
mengapa tidak ada yang peduli dengan kebersihan di tempat umum ini,disgust,huggingface,
aku yakin kita bisa mewujudkan semua mimpi kita bersama,trust,huggingface,
aku tidak ngerti kenapa orang suka buang sampah sembarangan di sungai,disgust,huggingface,
jijik lihat makanan yang sudah basi masih disimpan di kulkas,disgust,huggingface,
tidak sabar lihat bagaimana dia akan merespons rencana kita buat liburan,anticipation,huggingface,
kadang ngerasa aku gak layak buat dapat kasih sayang dari siapa pun,sadness,huggingface,
tidak sabar buat lihat hasil akhir dari semua kerja keras untuk keinginan ini,anticipation,huggingface,
rasanya bahagia ketika melihat pemandangan indah yang tidak setiap hari bisa disaksikan,joy,huggingface,
lihat orang pakai sikat gigi orang lain,disgust,huggingface,
tidak sabar mau coba hal baru besok pagi rasanya pasti seru,anticipation,huggingface,
tidak bisa berhenti mikirin apakah keinginan ini akan tercapai,anticipation,huggingface,
jijik banget lihat tempat makan yang dapurnya tidak bersih,disgust,huggingface,
setiap langkah yang kita ambil adalah bentuk komitmen kita,trust,huggingface,
gugup campur senang nunggu hasil dari kerja keras selama ini,anticipation,huggingface,
dunia yang kejam ini bikin aku ragu untuk percaya pada masa depan yang lebih baik,sadness,huggingface,
marah banget karena tokoh favoritku tibatiba hilang tanpa penjelasan,anger,huggingface,
ngitung hari buat mulai latihan bela diri lagi setelah sekian lama,anticipation,huggingface,
ingin banget hubungan ini bisa diperbaiki tapi sepertinya udah terlalu terlambat,sadness,huggingface,
kesel banget karena tokoh antagonis di buku ini tidak dapat hukuman yang setimpal,anger,huggingface,
lihat orang jemur pakaian dalam di tempat umum,disgust,huggingface,
aku takut bahwa aku tidak akan pernah bisa mencapai apa yang aku impikan,fear,huggingface,
aku merasa takut setiap kali harus menghadapi kenyataan yang tidak sesuai dengan harapan,fear,huggingface,
setiap keputusan yang kamu buat adalah tanda dari rasa percayaku padamu,trust,huggingface,
kepercayaan ini memberi arti baru pada setiap interaksi kita,trust,huggingface,
benerbener kesel banget kok bisa hal seperti gini terjadi lagi,anger,huggingface,
aku merasa sangat bahagia karena bisa fokus mengerjakan tugas hari ini,joy,huggingface,
mungkin aku terlalu berharap tapi kenyataannya gak sesuai,sadness,huggingface,
lihat orang makan sambil bersuara,disgust,huggingface,
tidak sabar buat mulai menjalani hidup yang baru dengan perubahan ini,anticipation,huggingface,
udah capek sabar ini benarbenar bikin marah besar,anger,huggingface,
takut kecewa lagi makanya jadi susah buat percaya sama orang lain,fear,huggingface,
lihat orang batuk berdahak di depan umum,disgust,huggingface,
hari ini terasa berat banget seperti gak ada yang bisa bikin senang,sadness,huggingface,
lihat video orang makan cacing hidup hidup,disgust,huggingface,
kesel banget sama orang yang tidak bisa bertanggung jawab sama perbuatannya,anger,huggingface,
aku merasa sangat takut untuk menghadapi hari esok,fear,huggingface,
gak ada yang lebih menyakitkan daripada melihat orang yang kita sayang jadi korban ketidakadilan,sadness,huggingface,
rasanya ingin cepat tahu bagaimana hasil kerja keras selama berbulanbulan,anticipation,huggingface,
tidak tahan lihat orang meludah di jalan tidak sopan banget,disgust,huggingface,
tidak tahan lagi menghadapi kenyataan bahwa keinginanku selalu berakhir dengan kegagalan,anger,huggingface,
aku yakin hubungan kita akan terus tumbuh karena kepercayaan ini,trust,huggingface,
marah banget karena ukuran barangnya salah padahal aku udah pilih yang benar,anger,huggingface,
semakin dekat hari ketemuan semakin gugup ingin lihat reaksinya,anticipation,huggingface,
serius bau got di jalan ini bikin aku ingin muntah tiap kali lewat,disgust,huggingface,
rasa takut ini membuatku merasa seperti semua yang aku lakukan salah,fear,huggingface,
bahagia itu saat bisa menghabiskan waktu berbicara dengan orang yang kamu sayangi,joy,huggingface,
ingin cepat tahu bagaimana hasil dari semua kerja keras selama ini,anticipation,huggingface,
tidak tahu kenapa tapi selalu ada rasa takut yang mengganjal di hati,fear,huggingface,
bahagia itu adalah ketika bisa belajar sesuatu yang baru setiap hari,joy,huggingface,
melihat orang yang tertindas bikin aku sadar kalau keadilan di dunia ini langka,sadness,huggingface,
kadang lebih takut sama bayangan kegagalan di kepala daripada kenyataan sebenarnya,fear,huggingface,
aku jijik banget lihat tempat tidur yang tidak pernah dirapikan penuh dengan debu,disgust,huggingface,
tidak tahan lagi nunggu hari di mana janji suci ini akan terwujud,anticipation,huggingface,
takut kalau nanti aku udah kasih yang terbaik tapi hasilnya tetap tidak sesuai,fear,huggingface,
kesel maksimal karena buku ini terlalu banyak karakter yang tidak penting,anger,huggingface,
kenapa ada orang yang tidak pernah cuci piring dapurnya penuh dengan tumpukan piring kotor,disgust,huggingface,
rasanya capek gagal terus padahal udah usaha maksimal,sadness,huggingface,
marah banget sama dunia ini yang selalu penuh dengan ketidakadilan,anger,huggingface,
udah kebayang sih akan seperti bagaimana acaranya nanti pasti seru,anticipation,huggingface,
gak ada yang lebih menyakitkan daripada dipecundangi oleh orang yang kamu percayai sepenuh hati,sadness,huggingface,
rasa takut ini membuatku merasa seperti tidak ada masa depan yang cerah,fear,huggingface,
nemu kecoa di dispenser air minum,disgust,huggingface,
jijik banget lihat orang meludah sembarangan di jalan raya,disgust,huggingface,
aku merasa bahagia ketika melihat orang lain tersenyum karena kebaikanku,joy,huggingface,
aku yakin kita akan selalu menemukan solusi untuk setiap masalah,trust,huggingface,
rasanya gugup banget memikirkan momen indah saat janji suci itu tiba,anticipation,huggingface,
aku tidak paham kenapa ada orang yang bisa makan di tempat yang penuh dengan kecoa,disgust,huggingface,
aku jijik banget lihat sepatu bekas lumpur di taruh sembarangan di ruang tamu,disgust,huggingface,
rasa takut ini membuatku sulit untuk tidur setiap malam,fear,huggingface,
tidak habis pikir kenapa barang ini dikirim dalam kondisi tidak layak,anger,huggingface,
gugup menanti waktuwaktu penuh berkah di hari suci yang tinggal sebentar lagi,anticipation,huggingface,
hitung mundur mulai sekarang  tinggal beberapa hari lagi,anticipation,huggingface,
nginjek ludah di lantai halte bus,disgust,huggingface,
nginjek kotoran anjing pas lagi main di taman,disgust,huggingface,
rasanya setiap langkah terasa lebih berat sejak dia gak ada,sadness,huggingface,
pengkhianatan ini bikin aku ngerasa gak ada lagi yang bisa aku percaya di dunia ini,sadness,huggingface,
rasa percaya ini adalah dasar dari segala sesuatu yang kita bangun bersama,trust,huggingface,
kepercayaan ini adalah anugerah yang tidak ternilai,trust,huggingface,
aku tahu kamu akan selalu membimbingku dengan cara yang benar,trust,huggingface,
perasaan ini gak bisa dijelaskan cuma terasa hampa,sadness,huggingface,
rasanya senang banget buat menyelesaikan puzzle keping,anticipation,huggingface,
setiap langkah yang kita ambil menunjukkan betapa kuatnya rasa percaya ini,trust,huggingface,
setiap momen bersamamu membuatku semakin yakin pada hubungan ini,trust,huggingface,
aku gak tau kapan aku bisa percaya lagi setelah dikhianati seperti ini,sadness,huggingface,
marah banget karena buku ini terlalu banyak filler yang tidak penting,anger,huggingface,
tidak ngerti kenapa ada orang yang tidak pernah cuci tangan setelah makan,disgust,huggingface,
rasanya ingin tahu sekarang juga apakah semuanya akan berjalan lancar,anticipation,huggingface,
terkadang dunia ini gak memberi ruang bagi orang yang jujur dan tulus,sadness,huggingface,
aku takut tidak akan pernah bisa menemukan kedamaian dalam hidup ini,fear,huggingface,
kesel maksimal tidak pernah punya waktu cukup buat ngejalanin hobiku,anger,huggingface,
aku muak dengan cara orang ini tidak menghargai lingkungan sekitarnya,disgust,huggingface,
serius  bau mulut orang di sebelah bikin aku ingin pindah tempat,disgust,huggingface,
kepercayaan ini memberi arti baru pada setiap tindakan kita,trust,huggingface,
gak pernah nyangka hubungan yang kita bangun bertahuntahun bisa hancur secepat ini,sadness,huggingface,
mengedit video vlog bikin aku merasa puas dan bahagia,joy,huggingface,
takut kehilangan semangat hidup padahal masih banyak hal yang ingin aku capai,fear,huggingface,
aku tidak bisa berhenti memikirkan segala kemungkinan buruk yang bisa terjadi,fear,huggingface,
aku merasa jijik dengan cara orang ini terusmenerus merokok di depan umum,disgust,huggingface,
marah banget karena lapangan pekerjaan makin susah didapat banyak pengangguran,anger,huggingface,
kesel banget karena game ini tidak pernah memberikan reward yang layak buat effort,anger,huggingface,
tidak sabar buat gabung sama komunitas hiking akhir pekan ini,anticipation,huggingface,
gugup setiap kali memikirkan apa yang akan terjadi besok,anticipation,huggingface,
setiap kata yang kamu ucapkan selalu membuatku merasa tenang,trust,huggingface,
rasanya bahagia bisa bangun pagi dengan perasaan segar dan siap menghadapi hari,joy,huggingface,
marah banget karena kamu tidak pernah mengakui kesalahanmu,anger,huggingface,
