normalize_text;teks_no_stop;teks_final;label;label_id
kepercayaan ini adalah dasar dari setiap impian yang kita bangun bersama;kepercayaan adalah dasar setiap impian kita bangun bersama;percaya adalah dasar tiap impi kita bangun sama;trust;6
sulit untuk melupakan semua kenangan dari hubungan yang dulu pernah indah;sulit melupakan semua kenangan hubungan dulu pernah indah;sulit lupa semua kenang hubung dulu pernah indah;sadness;5
kepercayaan adalah pondasi yang membuat hubungan ini tetap kokoh;kepercayaan pondasi membuat hubungan tetap kokoh;percaya pondasi buat hubung tetap kokoh;trust;6
rasa takut ini begitu kuat hingga aku merasa tidak punya kendali atas apa pun;rasa takut begitu kuat hingga aku merasa punya kendali atas apa;rasa takut begitu kuat hingga aku rasa punya kendali atas apa;fear;3
rasa takut ini seperti rantai yang mengikat aku pada ketidakpastian;rasa takut seperti rantai mengikat aku ketidakpastian;rasa takut seperti rantai ikat aku ketidakpastian;fear;3
sulit menerima kenyataan kalau ketidakadilan terus terjadi tanpa ada yang peduli;sulit menerima kenyataan kalau ketidakadilan terus terjadi ada peduli;sulit terima nyata kalau ketidakadilan terus jadi ada peduli;sadness;5
kehilangan sesuatu yang udah jadi bagian hidup itu benarbenar menghancurkan;kehilangan yang jadi bagian hidup benarbenar menghancurkan;hilang yang jadi bagi hidup benarbenar hancur;sadness;5
aku takut tidak akan pernah bisa keluar dari rasa takut ini;aku takut akan pernah keluar rasa takut;aku takut akan pernah keluar rasa takut;fear;3
kepergian ibu meninggalkan kesedihan yang mendalam;kepergian ibu meninggalkan kesedihan mendalam;pergi ibu tinggal sedih dalam;sadness;5
rasanya setiap menit bikin aku makin gugup karena semakin dekat waktunya;rasanya menit membuat aku makin gugup semakin dekat waktunya;rasa menit buat aku makin gugup makin dekat waktu;anticipation;1
bahagia itu adalah ketika bisa menemukan kedamaian di tengah kesibukan;bahagia adalah bisa menemukan kedamaian tengah kesibukan;bahagia adalah bisa temu damai tengah sibuk;joy;4
rasa takut ini begitu besar hingga membuatku merasa tidak ada yang bisa membantu aku;rasa takut begitu besar hingga membuatku merasa ada bisa membantu aku;rasa takut begitu besar hingga buat rasa ada bisa bantu aku;fear;3
rasanya bahagia banget bisa menyelesaikan tugas yang sempat tertunda di kantor;rasanya bahagia banget menyelesaikan tugas sempat tertunda kantor;rasa bahagia banget selesai tugas sempat tunda kantor;joy;4
jijik lihat orang yang tidak sikat gigi tapi langsung makan;jijik lihat orang tidak sikat gigi langsung makan;jijik lihat orang tidak sikat gigi langsung makan;disgust;2
kadang ingin nyerah aja setelah kegagalan yang terusterusan;kadang nyerah aja kegagalan terusterusan;kadang nyerah aja gagal terusterusan;sadness;5
aku percaya kamu akan selalu membimbingku dengan cara yang baik;aku percaya kamu selalu membimbingku cara baik;aku percaya kamu selalu bimbing cara baik;trust;6
setiap pengalaman yang kita lalui bersama menambah kepercayaan ini semakin dalam;pengalaman kita lalui bersama menambah kepercayaan semakin;alam kita lalu sama tambah percaya makin;trust;6
aku merasa sangat takut untuk menghadapi kenyataan yang tidak aku inginkan;aku merasa sangat takut menghadapi kenyataan tidak aku inginkan;aku rasa sangat takut hadap nyata tidak aku ingin;fear;3
takut dikecewain lagi makanya jadi ragu buat percaya;takut dikecewain makanya jadi ragu buat percaya;takut dikecewain makanya jadi ragu buat percaya;fear;3
ngitung hari terus karena tidak sabar lihat bagaimana perubahan ini berjalan;ngitung hari terus tidak sabar lihat bagaimana perubahan berjalan;ngitung hari terus tidak sabar lihat bagaimana ubah jalan;anticipation;1
tidak habis pikir kenapa keinginan ini selalu jauh dari genggaman padahal aku sudah berusaha;habis pikir keinginan selalu jauh genggaman padahal aku berusaha;habis pikir ingin selalu jauh genggam padahal aku usaha;anger;0
bahagia itu ketika bisa menikmati makanan favorit setelah lama menantikannya;bahagia ketika menikmati makanan favorit lama menantikannya;bahagia ketika nikmat makan favorit lama nanti;joy;4
aku yakin kamu akan selalu memberi yang terbaik dalam hubungan ini;aku yakin kamu selalu memberi terbaik hubungan;aku yakin kamu selalu beri baik hubung;trust;6
tidak habis pikir kenapa barang yang aku beli cepat banget rusak;habis pikir barang aku beli cepat banget rusak;habis pikir barang aku beli cepat banget rusak;anger;0
gak ada yang lebih menyakitkan dari kegagalan yang terus berulang;ada lebih menyakitkan kegagalan terus berulang;ada lebih sakit gagal terus ulang;sadness;5
serius  kenapa orang suka buang sampah sembarangan di bioskop;serius orang suka buang sampah sembarangan bioskop;serius orang suka buang sampah sembarang bioskop;disgust;2
aku takut kalau semua orang akan meninggalkan aku karena aku tidak cukup baik;aku takut kalau semua orang meninggalkan aku aku cukup baik;aku takut kalau semua orang tinggal aku aku cukup baik;fear;3
tidak sabar buat memulai hidup baru dengan perubahan besar ini;sabar buat memulai hidup baru perubahan besar;sabar buat mulai hidup baru ubah besar;anticipation;1
aku merasa jijik banget lihat orang buang sampah dari jendela mobil;aku merasa jijik banget lihat orang buang sampah jendela mobil;aku rasa jijik banget lihat orang buang sampah jendela mobil;disgust;2
rasanya seperti tidak ada hari tanpa perasaan takut yang terus muncul;rasanya tidak hari perasaan takut terus muncul;rasa tidak hari asa takut terus muncul;fear;3
rasanya tidak sabar buat menyambut kabar besar yang akan datang;rasanya sabar buat menyambut kabar besar akan datang;rasa sabar buat sambut kabar besar akan datang;anticipation;1
ingin cepat sampai ke hari yang penuh makna bagi kami berdua;cepat ke hari penuh makna kami berdua;cepat ke hari penuh makna kami dua;anticipation;1
tidak sabar buat presentasi di depan tim besok semoga lancar;sabar buat presentasi depan tim besok semoga lancar;sabar buat presentasi depan tim besok moga lancar;anticipation;1
udah tidak sabar menanti rilis film favorit bulan depan;tidak sabar menanti rilis film favorit bulan depan;tidak sabar nanti rilis film favorit bulan depan;anticipation;1
kesel maksimal kenapa dunia ini begitu kejam sama orangorang yang tidak bersalah;kesel maksimal dunia begitu kejam sama orangorang tidak bersalah;kesel maksimal dunia begitu kejam sama orangorang tidak salah;anger;0
jijik lihat orang meludah sembarangan di tempat umum;jijik lihat orang meludah sembarangan tempat umum;jijik lihat orang ludah sembarang tempat umum;disgust;2
aku takut semua ini akan berakhir buruk dan aku tidak tahu harus bagaimana;aku takut semua akan berakhir buruk aku tahu bagaimana;aku takut semua akan akhir buruk aku tahu bagaimana;fear;3
kesel maksimal karena hidup selalu membuatku merasa sendirian dalam menghadapi semuanya;kesel maksimal hidup selalu membuatku merasa sendirian menghadapi semuanya;kesel maksimal hidup selalu buat rasa sendiri hadap semua;anger;0
setiap kata yang kamu ucapkan selalu membangkitkan semangatku;kata kamu ucapkan selalu membangkitkan semangatku;kata kamu ucap selalu bangkit semangat;trust;6
aku merasa sangat jijik lihat serangga di kamar mandi umum tidak bisa tahan lama di sana;aku merasa sangat jijik lihat serangga kamar mandi umum bisa tahan lama sana;aku rasa sangat jijik lihat serangga kamar mandi umum bisa tahan lama sana;disgust;2
kenapa ya ada orang yang tidak peduli sama kebersihan rumahnya;ya orang tidak peduli sama kebersihan rumahnya;ya orang tidak peduli sama bersih rumah;disgust;2
sebenarnya mau maju tapi rasa takut gagal selalu bikin mundur lagi;sebenarnya mau maju rasa takut gagal selalu membuat mundur;benar mau maju rasa takut gagal selalu buat mundur;fear;3
aku takut membuat keputusan yang salah dan menyesalinya selamanya;aku takut membuat keputusan salah menyesalinya selamanya;aku takut buat putus salah sesal lama;fear;3
gak tau harus bagaimana lagi semuanya serba mahal tapi pendapatan segitugitu aja;tau bagaimana semuanya serba mahal pendapatan segitugitu aja;tau bagaimana semua serba mahal dapat segitugitu aja;sadness;5
aku merasa sangat bahagia karena tugas yang aku kerjakan mendapat feedback positif;aku merasa sangat bahagia tugas aku kerjakan mendapat feedback positif;aku rasa sangat bahagia tugas aku kerja dapat feedback positif;joy;4
bau mulut orang pas lagi bicara deket banget;bau mulut orang lagi bicara deket banget;bau mulut orang lagi bicara deket banget;disgust;2
hari ini berhasil menyelesaikan semua pekerjaan dengan baik rasanya bahagia banget;hari berhasil menyelesaikan semua pekerjaan baik rasanya bahagia banget;hari hasil selesai semua kerja baik rasa bahagia banget;joy;4
aku merasa takut setiap kali memikirkan apa yang akan terjadi ke depannya;aku merasa takut kali memikirkan apa akan terjadi depannya;aku rasa takut kali pikir apa akan jadi depan;fear;3
rasanya bahagia bisa makan makanan sehat yang bikin tubuh terasa segar;rasanya bahagia makan makanan sehat membuat tubuh terasa segar;rasa bahagia makan makan sehat buat tubuh asa segar;joy;4
kadang takut mimpi terlalu tinggi takut kalau nanti tidak bisa mencapainya;kadang takut mimpi terlalu tinggi takut kalau tidak mencapainya;kadang takut mimpi terlalu tinggi takut kalau tidak capa;fear;3
gak ada yang bisa bikin aku merasa lebih baik;ada bisa membuat aku merasa lebih baik;ada bisa buat aku rasa lebih baik;sadness;5
aku percaya bahwa kita akan menemukan cara terbaik untuk menyelesaikan setiap masalah;aku percaya kita menemukan cara terbaik menyelesaikan masalah;aku percaya kita temu cara baik selesai masalah;trust;6
sering takut buat mengambil risiko karena takut hasilnya tidak sesuai harapan;sering takut buat mengambil risiko takut hasilnya sesuai harapan;sering takut buat ambil risiko takut hasil sesuai harap;fear;3
aku merasa takut setiap kali harus membuat keputusan penting;aku merasa takut kali membuat keputusan penting;aku rasa takut kali buat putus penting;fear;3
ingin cepat tahu hasil lukisan yang aku buat minggu ini;cepat tahu hasil lukisan aku buat minggu;cepat tahu hasil lukis aku buat minggu;anticipation;1
takut banget kalau ternyata aku salah ambil keputusan dan tidak bisa memperbaikinya;takut banget kalau ternyata aku salah ambil keputusan tidak memperbaikinya;takut banget kalau nyata aku salah ambil putus tidak baik;fear;3
rasanya ingin tahu sekarang juga apakah aku bisa mencapai impian ini;rasanya tahu sekarang apakah aku mencapai impian;rasa tahu sekarang apakah aku capai impi;anticipation;1
rasa takut bikin aku sering nunda hal penting yang seharusnya bisa diselesaikan sekarang;rasa takut membuat aku sering nunda penting seharusnya diselesaikan sekarang;rasa takut buat aku sering nunda penting harus selesai sekarang;fear;3
nginjek pecahan kaca di pantai;nginjek pecahan kaca pantai;nginjek pecah kaca pantai;disgust;2
marah banget karena kamu selalu bikin aku ngerasa tidak dihargai;marah banget kamu selalu membuat aku ngerasa dihargai;marah banget kamu selalu buat aku ngerasa harga;anger;0
pikiranku terus ke dia tidak sabar ingin ngobrol dan ketawa bareng lagi;pikiranku terus dia sabar ngobrol ketawa bareng;pikir terus dia sabar ngobrol ketawa bareng;anticipation;1
rasa takut bikin aku lebih milih bertahan di tempat yang aman;rasa takut membuat aku lebih milih bertahan tempat aman;rasa takut buat aku lebih milih tahan tempat aman;fear;3
aku bahagia karena hari ini bisa menyelesaikan semua tugas yang ada di daftar;aku bahagia hari bisa menyelesaikan semua tugas ada daftar;aku bahagia hari bisa selesai semua tugas ada daftar;joy;4
jijik lihat orang makan sambil batukbatuk tanpa tutup mulut;jijik lihat orang makan batukbatuk tutup mulut;jijik lihat orang makan batukbatuk tutup mulut;disgust;2
sering takut kalau gagal padahal kegagalan itu bagian dari proses;sering takut kalau gagal padahal kegagalan bagian proses;sering takut kalau gagal padahal gagal bagi proses;fear;3
marah banget sama situasi ini udah tidak bisa ditolerir lagi;marah banget sama situasi sudah bisa ditolerir;marah banget sama situasi sudah bisa tolerir;anger;0
kepercayaan ini adalah kekuatan yang membuat kita mampu mengatasi semua hal;kepercayaan adalah kekuatan membuat mampu mengatasi semua;percaya adalah kuat buat mampu atas semua;trust;6
kamu selalu ada di sisiku dan itu membuatku semakin percaya padamu;kamu selalu di sisiku itu membuatku semakin percaya padamu;kamu selalu di sisi itu buat makin percaya pada;trust;6
rasa takut ini begitu kuat hingga membuatku merasa sangat tidak berdaya;rasa takut begitu kuat hingga membuatku merasa sangat berdaya;rasa takut begitu kuat hingga buat rasa sangat daya;fear;3
kesel banget karena usaha keras selama ini buat capai keinginan cuma berujung kegagalan;kesel banget usaha keras selama buat capai keinginan cuma berujung kegagalan;kesel banget usaha keras lama buat capai ingin cuma ujung gagal;anger;0
aku takut kalau aku akan gagal dalam segala hal yang aku coba;aku takut kalau aku gagal segala yang aku coba;aku takut kalau aku gagal segala yang aku coba;fear;3
aku jijik dengan cara orang ini memperlakukan tempat kerjanya seperti tempat pembuangan sampah;aku jijik cara orang memperlakukan tempat kerjanya tempat pembuangan sampah;aku jijik cara orang laku tempat kerja tempat buang sampah;disgust;2
tidak habis pikir kenapa lawan selalu curang dan main tidak sportif;habis pikir lawan selalu curang main sportif;habis pikir lawan selalu curang main sportif;anger;0
marah banget karena semua yang aku impikan selalu berakhir dengan kegagalan;marah banget semua aku impikan selalu berakhir kegagalan;marah banget semua aku impi selalu akhir gagal;anger;0
waktu kayaknya jalan lambat banget karena aku tidak tahan nunggu kabar ini;waktu kayaknya jalan lambat banget aku tahan nunggu kabar;waktu kayak jalan lambat banget aku tahan nunggu kabar;anticipation;1
lihat orang cuci baju di sungai yang kotor;lihat orang cuci baju sungai kotor;lihat orang cuci baju sungai kotor;disgust;2
kesel banget udah nunggu lama tapi barang yang datang malah cacat;kesel banget nunggu lama barang datang malah cacat;kesel banget nunggu lama barang datang malah cacat;anger;0
ingin lari dari semua tapi gak tau harus ke mana;lari semua tidak tau ke mana;lari semua tidak tau ke mana;sadness;5
bermain game vr bikin pengalaman gaming semakin nyata dan membahagiakan;bermain game vr membuat pengalaman gaming semakin nyata membahagiakan;main game vr buat alam gaming makin nyata bahagia;joy;4
aku tidak pernah meragukanmu karena kepercayaan ini menguatkan kita;aku pernah meragukanmu kepercayaan menguatkan;aku pernah ragu percaya kuat;trust;6
aku tidak pernah merasa ragu karena kamu selalu membuktikan diri;aku pernah merasa ragu kamu selalu membuktikan diri;aku pernah rasa ragu kamu selalu bukti diri;trust;6
aku percaya kamu adalah orang yang tepat untuk bersamaku;aku percaya kamu orang tepat bersamaku;aku percaya kamu orang tepat sama;trust;6
tidak habis pikir kenapa hidup ini tidak pernah kasih aku jalan yang mudah;habis pikir hidup tidak pernah kasih aku jalan mudah;habis pikir hidup tidak pernah kasih aku jalan mudah;anger;0
jijik lihat orang buang ingus di tempat umum;jijik lihat orang buang ingus tempat umum;jijik lihat orang buang ingus tempat umum;disgust;2
gugup tiap kali mikirin hari besar saat aku dan dia akan bersumpah setia;gugup tiap kali mikirin hari besar aku dia bersumpah setia;gugup tiap kali mikirin hari besar aku dia sumpah setia;anticipation;1
hubungan ini meninggalkan luka yang dalam banget di hati;hubungan meninggalkan luka dalam banget hati;hubung tinggal luka dalam banget hati;sadness;5
benerbener bikin emosi kenapa orang bisa sebegitu tidak pedulinya;benerbener membuat emosi orang sebegitu pedulinya;benerbener buat emosi orang begitu peduli;anger;0
rasa takut ini membuatku merasa seperti tidak ada tempat yang aman di dunia ini;rasa takut membuatku merasa tidak tempat aman dunia;rasa takut buat rasa tidak tempat aman dunia;fear;3
semakin dekat dengan momen besar semakin tidak bisa berhenti mikirin;semakin dekat momen besar semakin bisa berhenti mikirin;makin dekat momen besar makin bisa henti mikirin;anticipation;1
takut kalau apa yang aku perjuangkan selama ini ternyata tidak berarti apaapa;takut kalau apa aku perjuangkan selama ternyata berarti apaapa;takut kalau apa aku juang lama nyata arti apaapa;fear;3
gak ada yang lebih menyakitkan selain gagal setelah berjuang begitu lama;ada lebih menyakitkan gagal berjuang lama;ada lebih sakit gagal juang lama;sadness;5
nemu cicak di gelas minum;nemu cicak gelas minum;nemu cicak gelas minum;disgust;2
masih gak bisa move on dari kepergian ibu yang begitu tibatiba;tidak move on kepergian ibu begitu tibatiba;tidak move on pergi ibu begitu tibatiba;sadness;5
rasa takut bikin aku sering ngerasa stuck dan tidak bisa maju kemanamana;rasa takut membuat aku sering ngerasa stuck tidak maju kemanamana;rasa takut buat aku sering ngerasa stuck tidak maju kemanamana;fear;3
setiap tindakanmu menunjukkan betapa tulusnya hatimu;tindakanmu menunjukkan betapa tulusnya hatimu;tindak tunjuk betapa tulus hati;trust;6
rasanya sangat bahagia ketika bisa menikmati waktu di pantai dengan angin yang sejuk;rasanya sangat bahagia bisa menikmati waktu pantai angin sejuk;rasa sangat bahagia bisa nikmat waktu pantai angin sejuk;joy;4
marah banget karena barang yang aku pesan tidak lengkap isinya;marah banget barang aku pesan lengkap isinya;marah banget barang aku pesan lengkap isi;anger;0
serius  kenapa kamar ini penuh dengan debu dan tidak pernah dibersihin;serius kamar penuh debu tidak pernah dibersihin;serius kamar penuh debu tidak pernah dibersihin;disgust;2
tidak sabar ketemu sama orang spesial minggu depan;sabar ketemu sama orang spesial minggu depan;sabar ketemu sama orang spesial minggu depan;anticipation;1
gugup nunggu hasil tes yang keluar minggu depan;gugup nunggu hasil tes keluar minggu depan;gugup nunggu hasil tes keluar minggu depan;anticipation;1
terkadang ngerasa gak ada tempat buat orang yang jujur di dunia yang penuh ketidakadilan ini;terkadang ngerasa ada tempat buat orang jujur dunia penuh ketidakadilan;terkadang ngerasa ada tempat buat orang jujur dunia penuh ketidakadilan;sadness;5
bahagia itu ketika bisa mendapatkan kabar baik setelah menunggu sekian lama;bahagia ketika mendapatkan kabar baik menunggu sekian lama;bahagia ketika dapat kabar baik tunggu sekian lama;joy;4
aku percaya kita bisa menjadi lebih baik bersama;aku percaya bisa menjadi lebih baik bersama;aku percaya bisa jadi lebih baik sama;trust;6
kadang aku bertanya kapan semua rasa sedih ini akan berakhir;kadang aku bertanya kapan semua rasa sedih akan berakhir;kadang aku tanya kapan semua rasa sedih akan akhir;sadness;5
aku merasa bahagia ketika bisa berbuat baik kepada orang lain tanpa mengharapkan imbalan;aku merasa bahagia bisa berbuat baik orang tanpa mengharapkan imbalan;aku rasa bahagia bisa buat baik orang tanpa harap imbal;joy;4
