Usia Anda,Jenis Kelamin,Jam Tidur Semalam,Seberapa Sibuk Anda Hari Ini (1-5),Seberapa Banyak Tugas/Pekerjaan (1-5),Seberapa Tertekan Anda (1-5),Suasana Hati Anda (1-5),Seberapa Sering Merasa Lelah Emosional (1-5),Seberapa Termotivasi Anda (1-5),Ceritakan Hari Anda Hari Ini
18 - 20 tahun,Laki-laki,7,5,4,5,1,5,1,"anxious dari pagi, banyak hal yang bikin khawatir"
> 26 tahun,Laki-laki,9,3,2,2,3,4,1,"lumayan lah, ada naik turunnya tapi masih oke"
24 - 26 tahun,Laki-laki,12,5,4,4,3,4,3,tugas beres tapi gak ngerasa puas atau kecewa
18 - 20 tahun,Laki-laki,6,2,3,4,3,2,5,"ngerjain kewajiban, setelah itu ya sudah lah"
21 - 23 tahun,Laki-laki,6,5,5,4,1,4,1,"semua orang kayak nyebelin hari ini, atau mungkin aku yang sensitif"
18 tahun,Laki-laki,7,1,1,2,5,1,4,seneng bgt dapet nilai bagus pas ujian tadi
> 26 tahun,Laki-laki,3,2,2,3,3,2,5,"happy banget hari ini, banyak hal baik terjadi"
24 - 26 tahun,Laki-laki,7,2,2,2,3,1,4,"lunch enak, cuaca oke, tugas beres — hari sempurna"
21 - 23 tahun,Perempuan,6,1,2,2,5,1,4,semangat banget ngerjain tugas karena topiknya menarik bgt
24 - 26 tahun,Laki-laki,4,2,1,2,4,1,5,"ketemu temen lama, ngobrol sampe lupa waktu deh"
18 - 20 tahun,Perempuan,10,4,5,4,1,5,2,"capek banget, tugas numpuk kayak ga ada habisnya"
> 26 tahun,Laki-laki,9,2,2,2,4,1,5,ngerjain hal yang aku suka bikin waktu cepet banget berlalu
18 tahun,Perempuan,12,3,3,3,3,4,3,"gak banyak ngomong hari ini, lebih banyak mikir sendiri"
21 - 23 tahun,Laki-laki,4,3,2,2,5,4,3,pagi tadi olahraga dulu jadinya badan enak banget
24 - 26 tahun,Perempuan,7,5,5,4,1,5,1,"susah fokus banget, pikiran lari kemana-mana terus"
18 tahun,Perempuan,9,4,3,4,1,5,2,"overwhelmed banget, kepala udah penuh mau meledak rasanya"
21 - 23 tahun,Perempuan,7,5,5,5,1,5,2,"badan oke tapi hati hancur, ga tau kenapa juga"
18 - 20 tahun,Perempuan,8,3,3,3,2,2,4,"half-half hari ini, sebagian menyenangkan sebagian meh"
> 26 tahun,Laki-laki,3,2,3,2,3,2,3,"hari ini ngalir, gak ada yang perlu dilebih-lebihkan"
18 - 20 tahun,Perempuan,6,5,5,5,2,5,2,"capek banget, tugas numpuk kayak ga ada habisnya"
21 - 23 tahun,Laki-laki,10,1,1,1,4,1,5,"hari ini fun banget, belajar sambil ketawa-ketawa sama temen"
18 - 20 tahun,Perempuan,5,3,2,4,3,4,3,"ya jalani aja, toh besok juga bakal ada hari baru"
18 - 20 tahun,Laki-laki,3,4,4,3,2,4,1,"semua hal kerasa berat dan susah hari ini, capek"
18 - 20 tahun,Perempuan,8,5,4,4,1,5,1,"rasanya pengen pause semuanya, istirahat total dari dunia"
18 tahun,Perempuan,7,4,3,2,4,3,2,"hari ini ngalir, gak ada yang perlu dilebih-lebihkan"
21 - 23 tahun,Laki-laki,8,3,4,4,3,4,1,"kesal sama diri sendiri, harusnya bisa lebih baik dari ini"
24 - 26 tahun,Laki-laki,9,4,3,2,5,3,3,"bisa bantu temen yang lagi kesusahan, hati jadi hangat"
21 - 23 tahun,Laki-laki,5,2,3,2,4,1,5,alhamdulillah hari ini lancar banget ga ada hambatan
18 - 20 tahun,Laki-laki,6,2,1,1,5,1,5,"produktif parah hari ini, kayak mesin yang ga berhenti"
18 - 20 tahun,Perempuan,9,3,4,4,2,4,3,"semua orang kayak nyebelin hari ini, atau mungkin aku yang sensitif"
> 26 tahun,Perempuan,11,2,3,2,3,1,5,"hari ini chill tapi tetep produktif, perfect combo"
21 - 23 tahun,Laki-laki,6,5,4,4,3,4,2,"overwhelmed banget, kepala udah penuh mau meledak rasanya"
24 - 26 tahun,Perempuan,10,5,5,5,2,5,2,"down parah hari ini, semangat nol besar"
21 - 23 tahun,Perempuan,8,3,4,4,3,2,5,"hari ini ngalir, gak ada yang perlu dilebih-lebihkan"
18 - 20 tahun,Perempuan,6,4,5,4,3,3,2,"mood jelek dari bangun tidur, dan terus gitu sampe malem"
21 - 23 tahun,Perempuan,8,2,3,4,2,3,4,"waktu terasa lambat, tapi akhirnya selesai juga hari ini"
18 tahun,Perempuan,6,5,5,5,1,5,1,"merasa gagal hari ini, padahal udah usaha sebisa mungkin"
21 - 23 tahun,Perempuan,9,2,3,2,4,3,4,"semuanya berjalan sesuai plan, langka tapi nyata hari ini"
21 - 23 tahun,Perempuan,11,2,3,2,3,1,4,"hari ini seger banget, semua tugas kelar on time"
18 tahun,Laki-laki,7,1,1,1,5,2,3,"ngerasa hidup hari ini, bukan cuma ngejalanin rutinitas doang"
24 - 26 tahun,Perempuan,5,1,1,1,4,1,5,dapat apresiasi dari dosen bikin semangat dobel hari ini
21 - 23 tahun,Laki-laki,10,1,1,1,5,2,5,"hari ini fun banget, belajar sambil ketawa-ketawa sama temen"
21 - 23 tahun,Laki-laki,10,5,5,5,1,5,1,"exhausted total, jalan aja udah kayak zombie"
24 - 26 tahun,Perempuan,5,2,3,2,5,2,5,alhamdulillah hari ini lancar banget ga ada hambatan
18 - 20 tahun,Perempuan,5,3,3,3,4,2,3,"gak ada yang aneh, ngalir aja kayak biasa"
18 - 20 tahun,Laki-laki,8,1,1,1,5,2,4,"hari ini chill tapi tetep produktif, perfect combo"
18 tahun,Laki-laki,6,5,5,4,3,4,2,"capek banget, tugas numpuk kayak ga ada habisnya"
> 26 tahun,Perempuan,6,4,5,5,2,5,2,"ngerasa sendiri padahal dikelilingin banyak orang, aneh banget"
21 - 23 tahun,Perempuan,7,4,4,5,2,4,3,"exhausted total, jalan aja udah kayak zombie"
24 - 26 tahun,Laki-laki,12,5,4,4,3,5,2,"stress parah, deadline mepet semua barengan nyerang"
18 - 20 tahun,Perempuan,10,2,1,2,4,2,3,ngerasa punya achievement kecil tapi berarti banget buat aku
18 - 20 tahun,Laki-laki,6,4,4,3,3,2,5,"hari ini fun banget, belajar sambil ketawa-ketawa sama temen"
18 tahun,Laki-laki,5,1,2,1,4,1,4,"dengerin playlist favorit sambil ngerjain tugas, efeknya luar biasa"
18 tahun,Perempuan,4,1,2,1,5,2,4,"hari ini berasa ringan banget, kayak abis lepas beban"
21 - 23 tahun,Laki-laki,11,1,1,1,4,2,3,"hari ini penuh tawa, lupa sama capek dan penat"
18 - 20 tahun,Laki-laki,11,4,5,4,1,5,2,"kesal sama diri sendiri, harusnya bisa lebih baik dari ini"
18 - 20 tahun,Laki-laki,9,5,4,5,1,5,2,"overthinking parah tadi malem, jadinya kurang tidur dan lesu"
21 - 23 tahun,Perempuan,8,1,1,1,4,1,5,"semuanya berjalan sesuai plan, langka tapi nyata hari ini"
> 26 tahun,Perempuan,4,2,3,4,3,3,4,"gak banyak ngomong hari ini, lebih banyak mikir sendiri"
> 26 tahun,Laki-laki,6,5,5,5,1,4,2,"merasa gagal hari ini, padahal udah usaha sebisa mungkin"
18 - 20 tahun,Perempuan,7,4,4,3,3,4,1,"semua salah hari ini, dimulai dari bangun telat sampe tugas error"
18 - 20 tahun,Laki-laki,6,5,5,5,2,4,3,"down parah hari ini, semangat nol besar"
18 - 20 tahun,Laki-laki,7,2,3,2,5,3,3,ngerasa punya achievement kecil tapi berarti banget buat aku
24 - 26 tahun,Perempuan,5,2,2,3,4,2,4,"hari ini fun banget, belajar sambil ketawa-ketawa sama temen"
21 - 23 tahun,Perempuan,8,3,3,4,2,4,2,"semua hal kerasa berat dan susah hari ini, capek"
18 - 20 tahun,Laki-laki,5,5,5,4,1,4,3,ngerasa gak ada yang ngerti apa yang aku rasain hari ini
18 - 20 tahun,Laki-laki,9,5,5,4,1,4,1,gak ngerti kenapa ngerasa hampa gini dari tadi pagi
18 - 20 tahun,Perempuan,7,3,2,2,5,2,5,"happy banget hari ini, banyak hal baik terjadi"
21 - 23 tahun,Laki-laki,4,1,2,2,4,2,4,"produktif parah hari ini, kayak mesin yang ga berhenti"
18 - 20 tahun,Perempuan,11,4,3,2,4,3,2,overthinking dikit tapi masih bisa dikendaliin untungnya
21 - 23 tahun,Perempuan,4,5,5,4,1,4,3,"mood jelek dari bangun tidur, dan terus gitu sampe malem"
21 - 23 tahun,Laki-laki,5,5,5,5,1,5,2,"overthinking parah tadi malem, jadinya kurang tidur dan lesu"
18 - 20 tahun,Laki-laki,7,1,1,2,3,2,5,seneng bgt dapet nilai bagus pas ujian tadi
18 - 20 tahun,Perempuan,3,1,1,1,5,2,4,cuaca cerah bikin hati ikutan happy ga keruan
18 tahun,Perempuan,5,4,3,4,1,4,3,"down parah hari ini, semangat nol besar"
21 - 23 tahun,Perempuan,8,3,2,2,3,2,4,"pulang lebih awal, sempet me time yang udah lama kangen"
24 - 26 tahun,Laki-laki,5,1,1,2,4,2,4,excited karena dapet kesempatan baru yang udah lama ditunggu
21 - 23 tahun,Perempuan,3,1,1,2,4,2,4,"hari ini seger banget, semua tugas kelar on time"
18 - 20 tahun,Laki-laki,9,5,5,4,3,4,3,"ngejalanin rutinitas seperti biasa, gak naik gak turun"
24 - 26 tahun,Perempuan,7,4,4,3,4,4,3,"waktu terasa lambat, tapi akhirnya selesai juga hari ini"
21 - 23 tahun,Perempuan,6,3,3,4,1,2,4,"mood jelek dari bangun tidur, dan terus gitu sampe malem"
24 - 26 tahun,Perempuan,11,5,4,4,1,4,2,"badan oke tapi hati hancur, ga tau kenapa juga"
18 - 20 tahun,Laki-laki,9,1,2,2,4,2,3,"mood on fire dari pagi, semua kerasa ringan"
21 - 23 tahun,Laki-laki,7,4,3,2,4,4,1,"menjalani hari ini tanpa ekspektasi, hasilnya ya segini"
18 - 20 tahun,Laki-laki,7,1,2,2,3,2,3,"ngerjain kewajiban, setelah itu ya sudah lah"
21 - 23 tahun,Laki-laki,3,1,1,1,5,1,5,"hari ini penuh tawa, lupa sama capek dan penat"
24 - 26 tahun,Perempuan,5,4,4,3,3,4,1,lelah ngejar semuanya tapi kayak ga pernah sampe
18 - 20 tahun,Laki-laki,8,2,1,2,4,2,5,excited karena dapet kesempatan baru yang udah lama ditunggu
24 - 26 tahun,Perempuan,5,5,5,5,1,4,2,"rasanya pengen pause semuanya, istirahat total dari dunia"
21 - 23 tahun,Perempuan,9,4,4,4,1,5,1,lelah ngejar semuanya tapi kayak ga pernah sampe
18 - 20 tahun,Laki-laki,3,4,5,4,2,5,2,"frustrated bgt, usaha keras tapi hasilnya mengecewakan terus"
21 - 23 tahun,Perempuan,7,5,5,4,2,4,3,"cape hati, bukan cape badan — itu yang paling melelahkan"
18 tahun,Perempuan,10,2,1,2,4,2,5,"ngerasa hidup hari ini, bukan cuma ngejalanin rutinitas doang"
21 - 23 tahun,Perempuan,6,5,5,5,2,5,1,"rasanya pengen pause semuanya, istirahat total dari dunia"
18 tahun,Perempuan,8,3,2,4,1,4,1,"burnout parah, udah gak sanggup lagi kayaknya"
21 - 23 tahun,Laki-laki,10,1,1,1,5,1,5,"hari ini chill tapi tetep produktif, perfect combo"
18 - 20 tahun,Perempuan,7,2,1,1,4,2,4,"pulang lebih awal, sempet me time yang udah lama kangen"
24 - 26 tahun,Perempuan,7,2,2,3,3,2,4,"gak ada komplain sih sebenernya, tapi gak excited juga"
18 tahun,Laki-laki,10,5,4,4,2,4,3,"pikiran gelap dateng lagi, susah diusir pergi"
21 - 23 tahun,Perempuan,5,3,2,2,4,2,3,semangat banget ngerjain tugas karena topiknya menarik bgt
21 - 23 tahun,Laki-laki,12,3,2,4,2,4,1,"lelah fisik sama mental, dua-duanya udah di titik mentok"
> 26 tahun,Laki-laki,9,3,2,4,2,2,5,"biasa aja, nothing special, just another day"
21 - 23 tahun,Laki-laki,8,2,3,2,5,3,2,cuaca cerah bikin hati ikutan happy ga keruan
24 - 26 tahun,Perempuan,6,2,1,2,4,3,3,"ketemu temen lama, ngobrol sampe lupa waktu deh"
18 - 20 tahun,Laki-laki,10,3,4,4,2,2,4,"menjalani hari ini tanpa ekspektasi, hasilnya ya segini"
24 - 26 tahun,Perempuan,9,3,2,2,3,2,3,"fine-fine aja sih, cuma capek biasa yang wajar"
21 - 23 tahun,Laki-laki,6,5,5,4,2,4,2,"rasanya pengen pause semuanya, istirahat total dari dunia"
18 - 20 tahun,Perempuan,8,3,4,4,3,4,1,"ngerasa sendiri padahal dikelilingin banyak orang, aneh banget"
21 - 23 tahun,Laki-laki,11,3,4,2,5,2,5,"dengerin playlist favorit sambil ngerjain tugas, efeknya luar biasa"
21 - 23 tahun,Laki-laki,8,1,1,1,4,1,5,finally kelar juga projek yang udah molor berminggu-minggu
18 - 20 tahun,Laki-laki,4,4,4,5,2,5,2,"mood jelek dari bangun tidur, dan terus gitu sampe malem"
21 - 23 tahun,Laki-laki,10,1,1,2,4,2,3,"ngerasa hidup hari ini, bukan cuma ngejalanin rutinitas doang"
21 - 23 tahun,Perempuan,11,3,2,4,2,4,3,"tugas segunung, waktu secuil, otak udah mati duluan"
18 tahun,Perempuan,11,4,3,4,1,5,2,"stress parah, deadline mepet semua barengan nyerang"
18 tahun,Perempuan,12,5,4,4,3,4,3,"biasa aja, nothing special, just another day"
24 - 26 tahun,Perempuan,9,5,4,4,1,4,3,"semua hal kerasa berat dan susah hari ini, capek"
24 - 26 tahun,Perempuan,9,2,1,2,3,3,3,"hari ini biasa aja sih, gak ada yang spesial"
18 - 20 tahun,Perempuan,8,5,4,5,1,5,1,gak ngerti kenapa ngerasa hampa gini dari tadi pagi
21 - 23 tahun,Perempuan,7,5,4,5,2,5,1,"cape hati, bukan cape badan — itu yang paling melelahkan"
21 - 23 tahun,Perempuan,12,4,4,5,1,4,3,"merasa gagal hari ini, padahal udah usaha sebisa mungkin"
18 tahun,Perempuan,7,1,1,1,5,2,5,"hari ini fun banget, belajar sambil ketawa-ketawa sama temen"
24 - 26 tahun,Perempuan,7,3,3,4,3,4,1,"anxious dari pagi, banyak hal yang bikin khawatir"
24 - 26 tahun,Laki-laki,9,2,2,2,3,2,4,"dengerin playlist favorit sambil ngerjain tugas, efeknya luar biasa"
21 - 23 tahun,Perempuan,4,4,4,5,1,4,1,ngerasa gak ada yang ngerti apa yang aku rasain hari ini
18 tahun,Laki-laki,3,1,2,2,4,1,5,pagi tadi olahraga dulu jadinya badan enak banget
21 - 23 tahun,Laki-laki,6,1,1,1,5,1,5,pagi tadi olahraga dulu jadinya badan enak banget
> 26 tahun,Laki-laki,6,5,5,4,1,5,1,"ngerasa sendiri padahal dikelilingin banyak orang, aneh banget"
24 - 26 tahun,Perempuan,7,1,1,2,3,2,5,"hari ini berasa ringan banget, kayak abis lepas beban"
24 - 26 tahun,Laki-laki,8,1,2,2,5,2,3,"ketemu temen lama, ngobrol sampe lupa waktu deh"
18 - 20 tahun,Laki-laki,10,3,2,2,3,4,3,"badan oke pikiran oke, tapi gak ada spark gitu"
18 tahun,Laki-laki,11,1,2,2,3,2,4,ngerasa punya achievement kecil tapi berarti banget buat aku
21 - 23 tahun,Perempuan,8,5,5,4,1,4,1,"lelah fisik sama mental, dua-duanya udah di titik mentok"
21 - 23 tahun,Perempuan,8,4,5,4,2,4,1,"emotional banget hari ini, gampang baper sama hal kecil"
18 - 20 tahun,Perempuan,5,5,5,5,2,5,1,"ngerasa sendiri padahal dikelilingin banyak orang, aneh banget"
21 - 23 tahun,Laki-laki,1,3,2,2,4,2,4,finally kelar juga projek yang udah molor berminggu-minggu
18 tahun,Laki-laki,4,4,5,5,1,5,2,"tugas segunung, waktu secuil, otak udah mati duluan"
18 tahun,Laki-laki,3,1,1,1,5,2,4,"pikiran jernih banget hari ini, bisa fokus full"
21 - 23 tahun,Laki-laki,5,4,3,4,1,5,1,gak ngerti kenapa ngerasa hampa gini dari tadi pagi
18 - 20 tahun,Laki-laki,5,5,5,5,1,5,1,"semua orang kayak nyebelin hari ini, atau mungkin aku yang sensitif"
18 - 20 tahun,Laki-laki,3,1,2,2,3,2,4,dapet feedback positif yang bikin makin yakin sama diri sendiri
> 26 tahun,Laki-laki,4,1,1,1,4,1,5,"happy banget hari ini, banyak hal baik terjadi"
24 - 26 tahun,Laki-laki,4,4,4,5,2,4,3,"badan oke tapi hati hancur, ga tau kenapa juga"
24 - 26 tahun,Laki-laki,4,1,1,1,5,1,5,"pikiran jernih banget hari ini, bisa fokus full"
18 tahun,Perempuan,5,4,3,2,4,3,2,"antara pengen rebahan dan harus produktif, pilih tengah-tengah"
24 - 26 tahun,Laki-laki,7,5,5,5,2,5,2,"overwhelmed banget, kepala udah penuh mau meledak rasanya"
21 - 23 tahun,Laki-laki,8,3,4,4,3,2,3,"makan oke, kelas oke, tugas oke — semua oke doang"
18 - 20 tahun,Laki-laki,6,1,2,2,3,1,4,"ngerasa hidup hari ini, bukan cuma ngejalanin rutinitas doang"
21 - 23 tahun,Perempuan,7,2,2,2,4,2,4,"hari ini berasa ringan banget, kayak abis lepas beban"
21 - 23 tahun,Laki-laki,9,3,2,2,3,4,3,"badan oke pikiran oke, tapi gak ada spark gitu"
18 - 20 tahun,Laki-laki,8,5,4,4,1,5,2,"frustrated bgt, usaha keras tapi hasilnya mengecewakan terus"
> 26 tahun,Perempuan,8,4,3,4,3,3,3,"standar banget, kayak hari-hari sebelumnya yang mirip"
21 - 23 tahun,Laki-laki,9,5,4,5,2,5,2,gak ngerti kenapa ngerasa hampa gini dari tadi pagi
18 tahun,Perempuan,11,3,3,2,3,2,3,"lumayan lah, ada naik turunnya tapi masih oke"
18 - 20 tahun,Laki-laki,7,5,5,5,1,5,1,"bad day banget, hampir nangis beberapa kali hari ini"
21 - 23 tahun,Perempuan,4,5,4,5,1,4,2,gak ngerti kenapa ngerasa hampa gini dari tadi pagi
21 - 23 tahun,Perempuan,6,3,4,4,1,4,1,"pikiran gelap dateng lagi, susah diusir pergi"
> 26 tahun,Laki-laki,10,2,2,3,4,2,4,"hari ini berasa ringan banget, kayak abis lepas beban"
18 - 20 tahun,Perempuan,7,2,1,2,3,2,3,"antara pengen rebahan dan harus produktif, pilih tengah-tengah"
21 - 23 tahun,Perempuan,11,5,4,4,1,4,2,"merasa gagal hari ini, padahal udah usaha sebisa mungkin"
> 26 tahun,Perempuan,6,2,2,2,3,2,3,"badan oke pikiran oke, tapi gak ada spark gitu"
21 - 23 tahun,Perempuan,12,3,2,2,4,2,5,"semuanya berjalan sesuai plan, langka tapi nyata hari ini"
21 - 23 tahun,Perempuan,2,4,5,4,3,4,2,"capek banget, tugas numpuk kayak ga ada habisnya"
> 26 tahun,Perempuan,5,2,3,4,3,4,2,"anxious dari pagi, banyak hal yang bikin khawatir"
24 - 26 tahun,Perempuan,4,2,2,3,4,2,3,"ya gini-gini aja, standar banget hari ini mah"
24 - 26 tahun,Perempuan,7,5,5,4,3,4,2,"overthinking parah tadi malem, jadinya kurang tidur dan lesu"
18 tahun,Perempuan,7,2,3,4,1,4,2,"gak mood sama sekali, males banget ngapa-ngapain hari ini"
> 26 tahun,Perempuan,9,5,5,4,2,4,1,lelah ngejar semuanya tapi kayak ga pernah sampe
> 26 tahun,Perempuan,2,1,1,1,5,2,5,finally kelar juga projek yang udah molor berminggu-minggu
24 - 26 tahun,Laki-laki,6,1,1,2,4,2,3,"dengerin playlist favorit sambil ngerjain tugas, efeknya luar biasa"
24 - 26 tahun,Perempuan,8,2,1,1,5,2,3,cuaca cerah bikin hati ikutan happy ga keruan
18 - 20 tahun,Laki-laki,10,3,3,4,2,4,2,"semua hal kerasa berat dan susah hari ini, capek"
18 tahun,Laki-laki,5,1,2,2,4,1,5,"hari ini chill tapi tetep produktif, perfect combo"
> 26 tahun,Laki-laki,10,4,4,3,3,4,2,"gak banyak drama hari ini, adem ayem aja"
> 26 tahun,Perempuan,9,4,3,4,3,3,4,"ngerjain kewajiban, setelah itu ya sudah lah"
18 - 20 tahun,Perempuan,8,3,3,4,3,4,1,"merasa gagal hari ini, padahal udah usaha sebisa mungkin"
21 - 23 tahun,Perempuan,10,3,4,4,2,4,1,"gak mood sama sekali, males banget ngapa-ngapain hari ini"
21 - 23 tahun,Perempuan,7,2,1,1,5,2,4,pagi tadi olahraga dulu jadinya badan enak banget
18 - 20 tahun,Perempuan,8,3,3,4,1,4,1,"merasa gagal hari ini, padahal udah usaha sebisa mungkin"
> 26 tahun,Perempuan,9,5,4,5,1,5,1,nangis di kamar mandi karena udah gak tahan stressnya
18 - 20 tahun,Perempuan,8,4,5,4,3,3,3,kerja keras dikit tapi hasilnya ya segitu-gitu aja
18 - 20 tahun,Perempuan,12,3,4,4,1,2,3,"gak mood sama sekali, males banget ngapa-ngapain hari ini"
21 - 23 tahun,Laki-laki,6,1,2,2,5,2,5,seneng bgt dapet nilai bagus pas ujian tadi
21 - 23 tahun,Perempuan,5,2,3,4,3,4,1,gak ngerti kenapa ngerasa hampa gini dari tadi pagi
21 - 23 tahun,Perempuan,5,2,1,2,3,2,5,"pikiran jernih banget hari ini, bisa fokus full"
21 - 23 tahun,Laki-laki,7,5,4,4,2,4,3,ngerasa gak ada yang ngerti apa yang aku rasain hari ini
21 - 23 tahun,Laki-laki,9,1,1,1,5,1,5,ngerasa punya achievement kecil tapi berarti banget buat aku
24 - 26 tahun,Perempuan,10,5,5,5,1,4,2,"emotional banget hari ini, gampang baper sama hal kecil"
> 26 tahun,Perempuan,4,2,2,1,4,2,5,alhamdulillah hari ini lancar banget ga ada hambatan
21 - 23 tahun,Laki-laki,10,1,1,1,5,2,4,"happy banget hari ini, banyak hal baik terjadi"
21 - 23 tahun,Laki-laki,4,2,3,4,1,2,5,"half-half hari ini, sebagian menyenangkan sebagian meh"
24 - 26 tahun,Laki-laki,9,5,4,4,1,4,3,"semua hal kerasa berat dan susah hari ini, capek"
21 - 23 tahun,Laki-laki,6,1,1,2,5,2,5,cuaca cerah bikin hati ikutan happy ga keruan
21 - 23 tahun,Laki-laki,8,3,3,2,5,2,3,ngerasa punya achievement kecil tapi berarti banget buat aku
21 - 23 tahun,Perempuan,6,2,2,3,3,4,2,"badan oke pikiran oke, tapi gak ada spark gitu"
18 - 20 tahun,Perempuan,7,3,2,2,3,2,4,alhamdulillah hari ini lancar banget ga ada hambatan
18 - 20 tahun,Perempuan,11,5,5,4,1,4,3,"badan oke tapi hati hancur, ga tau kenapa juga"
18 - 20 tahun,Perempuan,12,4,4,4,2,3,2,pengen kabur dari semua tanggung jawab ini sesaat aja
21 - 23 tahun,Laki-laki,5,3,2,2,4,2,5,ngerjain hal yang aku suka bikin waktu cepet banget berlalu
24 - 26 tahun,Laki-laki,5,1,1,1,4,1,5,belajar hal baru hari ini dan rasanya nagih banget
24 - 26 tahun,Perempuan,6,5,5,4,2,5,1,"gak mood sama sekali, males banget ngapa-ngapain hari ini"
21 - 23 tahun,Perempuan,7,5,5,5,1,4,1,pengen kabur dari semua tanggung jawab ini sesaat aja
21 - 23 tahun,Laki-laki,7,3,2,2,5,4,2,dapat apresiasi dari dosen bikin semangat dobel hari ini
18 tahun,Perempuan,8,4,5,4,1,5,2,"bad day banget, hampir nangis beberapa kali hari ini"
18 - 20 tahun,Laki-laki,4,5,5,5,2,5,2,"emotional banget hari ini, gampang baper sama hal kecil"
21 - 23 tahun,Laki-laki,5,1,1,1,5,1,5,"pikiran jernih banget hari ini, bisa fokus full"
18 - 20 tahun,Laki-laki,10,1,2,2,4,2,5,"pikiran jernih banget hari ini, bisa fokus full"
18 - 20 tahun,Perempuan,7,5,5,5,2,5,1,"kesal sama diri sendiri, harusnya bisa lebih baik dari ini"
18 tahun,Laki-laki,4,1,1,1,5,1,5,"ngerasa hidup hari ini, bukan cuma ngejalanin rutinitas doang"
18 - 20 tahun,Perempuan,7,4,5,5,1,5,1,gak sanggup lagi pura-pura baik-baik aja di depan semua orang
18 - 20 tahun,Perempuan,8,5,5,5,1,5,2,"semua orang kayak nyebelin hari ini, atau mungkin aku yang sensitif"
21 - 23 tahun,Laki-laki,10,3,4,4,1,2,4,"pikiran gelap dateng lagi, susah diusir pergi"
18 - 20 tahun,Laki-laki,5,3,4,2,5,4,2,"produktif parah hari ini, kayak mesin yang ga berhenti"
21 - 23 tahun,Laki-laki,11,3,3,2,5,4,3,semangat banget ngerjain tugas karena topiknya menarik bgt
> 26 tahun,Perempuan,6,2,2,1,5,2,3,belajar hal baru hari ini dan rasanya nagih banget
> 26 tahun,Laki-laki,8,2,1,2,4,3,4,excited karena dapet kesempatan baru yang udah lama ditunggu
18 - 20 tahun,Laki-laki,7,2,1,2,5,1,5,alhamdulillah hari ini lancar banget ga ada hambatan
18 tahun,Perempuan,8,1,2,1,4,2,3,"hari ini chill tapi tetep produktif, perfect combo"
21 - 23 tahun,Laki-laki,6,2,2,2,4,3,2,"menjalani hari ini tanpa ekspektasi, hasilnya ya segini"
24 - 26 tahun,Laki-laki,5,1,1,1,4,1,5,"bisa bantu temen yang lagi kesusahan, hati jadi hangat"
21 - 23 tahun,Laki-laki,11,3,2,2,4,4,3,finally kelar juga projek yang udah molor berminggu-minggu
> 26 tahun,Perempuan,6,5,5,5,1,5,1,nangis di kamar mandi karena udah gak tahan stressnya
18 - 20 tahun,Perempuan,4,4,5,4,3,3,2,"semua orang kayak nyebelin hari ini, atau mungkin aku yang sensitif"
24 - 26 tahun,Laki-laki,8,2,3,4,2,3,4,"hari ini so-so aja, antara males dan mau usaha"
18 - 20 tahun,Laki-laki,4,2,2,2,3,1,5,semangat banget ngerjain tugas karena topiknya menarik bgt
