Jam Tidur Semalam,Seberapa Sibuk Anda Hari Ini (1-5),Seberapa Banyak Tugas/Pekerjaan (1-5),Suasana Hati Anda (1-5),Ceritakan Hari Anda Hari Ini
10,5,5,1,"exhausted total, jalan aja udah kayak zombie"
5,2,3,5,alhamdulillah hari ini lancar banget ga ada hambatan
5,3,3,4,"gak ada yang aneh, ngalir aja kayak biasa"
8,1,1,5,"hari ini chill tapi tetep produktif, perfect combo"
6,5,5,3,"capek banget, tugas numpuk kayak ga ada habisnya"
6,4,5,2,"ngerasa sendiri padahal dikelilingin banyak orang, aneh banget"
7,4,4,2,"exhausted total, jalan aja udah kayak zombie"
12,5,4,3,"stress parah, deadline mepet semua barengan nyerang"
10,2,1,4,ngerasa punya achievement kecil tapi berarti banget buat aku
6,4,4,3,"hari ini fun banget, belajar sambil ketawa-ketawa sama temen"
5,1,2,4,"dengerin playlist favorit sambil ngerjain tugas, efeknya luar biasa"
4,1,2,5,"hari ini berasa ringan banget, kayak abis lepas beban"
11,1,1,4,"hari ini penuh tawa, lupa sama capek dan penat"
11,4,5,1,"kesal sama diri sendiri, harusnya bisa lebih baik dari ini"
9,5,4,1,"overthinking parah tadi malem, jadinya kurang tidur dan lesu"
8,1,1,4,"semuanya berjalan sesuai plan, langka tapi nyata hari ini"
4,2,3,3,"gak banyak ngomong hari ini, lebih banyak mikir sendiri"
6,5,5,1,"merasa gagal hari ini, padahal udah usaha sebisa mungkin"
7,4,4,3,"semua salah hari ini, dimulai dari bangun telat sampe tugas error"
6,5,5,2,"down parah hari ini, semangat nol besar"
7,2,3,5,ngerasa punya achievement kecil tapi berarti banget buat aku
5,2,2,4,"hari ini fun banget, belajar sambil ketawa-ketawa sama temen"
8,3,3,2,"semua hal kerasa berat dan susah hari ini, capek"
5,5,5,1,ngerasa gak ada yang ngerti apa yang aku rasain hari ini
9,5,5,1,gak ngerti kenapa ngerasa hampa gini dari tadi pagi
7,3,2,5,"happy banget hari ini, banyak hal baik terjadi"
4,1,2,4,"produktif parah hari ini, kayak mesin yang ga berhenti"
11,4,3,4,overthinking dikit tapi masih bisa dikendaliin untungnya
4,5,5,1,"mood jelek dari bangun tidur, dan terus gitu sampe malem"
5,5,5,1,"overthinking parah tadi malem, jadinya kurang tidur dan lesu"
7,1,1,3,seneng bgt dapet nilai bagus pas ujian tadi
3,1,1,5,cuaca cerah bikin hati ikutan happy ga keruan
5,4,3,1,"down parah hari ini, semangat nol besar"
8,3,2,3,"pulang lebih awal, sempet me time yang udah lama kangen"
5,1,1,4,excited karena dapet kesempatan baru yang udah lama ditunggu
3,1,1,4,"hari ini seger banget, semua tugas kelar on time"
9,5,5,3,"ngejalanin rutinitas seperti biasa, gak naik gak turun"
7,4,4,4,"waktu terasa lambat, tapi akhirnya selesai juga hari ini"
6,3,3,1,"mood jelek dari bangun tidur, dan terus gitu sampe malem"
11,5,4,1,"badan oke tapi hati hancur, ga tau kenapa juga"
9,1,2,4,"mood on fire dari pagi, semua kerasa ringan"
7,4,3,4,"menjalani hari ini tanpa ekspektasi, hasilnya ya segini"
7,1,2,3,"ngerjain kewajiban, setelah itu ya sudah lah"
3,1,1,5,"hari ini penuh tawa, lupa sama capek dan penat"
5,4,4,3,lelah ngejar semuanya tapi kayak ga pernah sampe
8,2,1,4,excited karena dapet kesempatan baru yang udah lama ditunggu
5,5,5,1,"rasanya pengen pause semuanya, istirahat total dari dunia"
9,4,4,1,lelah ngejar semuanya tapi kayak ga pernah sampe
3,4,5,2,"frustrated bgt, usaha keras tapi hasilnya mengecewakan terus"
7,5,5,2,"cape hati, bukan cape badan — itu yang paling melelahkan"
10,2,1,4,"ngerasa hidup hari ini, bukan cuma ngejalanin rutinitas doang"
6,5,5,2,"rasanya pengen pause semuanya, istirahat total dari dunia"
8,3,2,1,"burnout parah, udah gak sanggup lagi kayaknya"
10,1,1,5,"hari ini chill tapi tetep produktif, perfect combo"
7,2,1,4,"pulang lebih awal, sempet me time yang udah lama kangen"
7,2,2,3,"gak ada komplain sih sebenernya, tapi gak excited juga"
10,5,4,2,"pikiran gelap dateng lagi, susah diusir pergi"
5,3,2,4,semangat banget ngerjain tugas karena topiknya menarik bgt
12,3,2,2,"lelah fisik sama mental, dua-duanya udah di titik mentok"
9,3,2,2,"biasa aja, nothing special, just another day"
8,2,3,5,cuaca cerah bikin hati ikutan happy ga keruan
6,2,1,4,"ketemu temen lama, ngobrol sampe lupa waktu deh"
10,3,4,2,"menjalani hari ini tanpa ekspektasi, hasilnya ya segini"
9,3,2,3,"fine-fine aja sih, cuma capek biasa yang wajar"
6,5,5,2,"rasanya pengen pause semuanya, istirahat total dari dunia"
8,3,4,3,"ngerasa sendiri padahal dikelilingin banyak orang, aneh banget"
11,3,4,5,"dengerin playlist favorit sambil ngerjain tugas, efeknya luar biasa"
8,1,1,4,finally kelar juga projek yang udah molor berminggu-minggu
4,4,4,2,"mood jelek dari bangun tidur, dan terus gitu sampe malem"
10,1,1,4,"ngerasa hidup hari ini, bukan cuma ngejalanin rutinitas doang"
11,3,2,2,"tugas segunung, waktu secuil, otak udah mati duluan"
11,4,3,1,"stress parah, deadline mepet semua barengan nyerang"
12,5,4,3,"biasa aja, nothing special, just another day"
9,5,4,1,"semua hal kerasa berat dan susah hari ini, capek"
9,2,1,3,"hari ini biasa aja sih, gak ada yang spesial"
8,5,4,1,gak ngerti kenapa ngerasa hampa gini dari tadi pagi
7,5,4,2,"cape hati, bukan cape badan — itu yang paling melelahkan"
12,4,4,1,"merasa gagal hari ini, padahal udah usaha sebisa mungkin"
7,1,1,5,"hari ini fun banget, belajar sambil ketawa-ketawa sama temen"
7,3,3,3,"anxious dari pagi, banyak hal yang bikin khawatir"
9,2,2,3,"dengerin playlist favorit sambil ngerjain tugas, efeknya luar biasa"
4,4,4,1,ngerasa gak ada yang ngerti apa yang aku rasain hari ini
3,1,2,4,pagi tadi olahraga dulu jadinya badan enak banget
6,1,1,5,pagi tadi olahraga dulu jadinya badan enak banget
6,5,5,1,"ngerasa sendiri padahal dikelilingin banyak orang, aneh banget"
7,1,1,3,"hari ini berasa ringan banget, kayak abis lepas beban"
8,1,2,5,"ketemu temen lama, ngobrol sampe lupa waktu deh"
10,3,2,3,"badan oke pikiran oke, tapi gak ada spark gitu"
11,1,2,3,ngerasa punya achievement kecil tapi berarti banget buat aku
8,5,5,1,"lelah fisik sama mental, dua-duanya udah di titik mentok"
8,4,5,2,"emotional banget hari ini, gampang baper sama hal kecil"
5,5,5,2,"ngerasa sendiri padahal dikelilingin banyak orang, aneh banget"
1,3,2,4,finally kelar juga projek yang udah molor berminggu-minggu
4,4,5,1,"tugas segunung, waktu secuil, otak udah mati duluan"
3,1,1,5,"pikiran jernih banget hari ini, bisa fokus full"
5,4,3,1,gak ngerti kenapa ngerasa hampa gini dari tadi pagi
5,5,5,1,"semua orang kayak nyebelin hari ini, atau mungkin aku yang sensitif"
3,1,2,3,dapet feedback positif yang bikin makin yakin sama diri sendiri
4,1,1,4,"happy banget hari ini, banyak hal baik terjadi"
4,4,4,2,"badan oke tapi hati hancur, ga tau kenapa juga"
4,1,1,5,"pikiran jernih banget hari ini, bisa fokus full"
5,4,3,4,"antara pengen rebahan dan harus produktif, pilih tengah-tengah"
7,5,5,2,"overwhelmed banget, kepala udah penuh mau meledak rasanya"
8,3,4,3,"makan oke, kelas oke, tugas oke — semua oke doang"
6,1,2,3,"ngerasa hidup hari ini, bukan cuma ngejalanin rutinitas doang"
7,2,2,4,"hari ini berasa ringan banget, kayak abis lepas beban"
9,3,2,3,"badan oke pikiran oke, tapi gak ada spark gitu"
8,5,4,1,"frustrated bgt, usaha keras tapi hasilnya mengecewakan terus"
8,4,3,3,"standar banget, kayak hari-hari sebelumnya yang mirip"
9,5,4,2,gak ngerti kenapa ngerasa hampa gini dari tadi pagi
11,3,3,3,"lumayan lah, ada naik turunnya tapi masih oke"
7,5,5,1,"bad day banget, hampir nangis beberapa kali hari ini"
4,5,4,1,gak ngerti kenapa ngerasa hampa gini dari tadi pagi
6,3,4,1,"pikiran gelap dateng lagi, susah diusir pergi"
10,2,2,4,"hari ini berasa ringan banget, kayak abis lepas beban"
7,2,1,3,"antara pengen rebahan dan harus produktif, pilih tengah-tengah"
11,5,4,1,"merasa gagal hari ini, padahal udah usaha sebisa mungkin"
6,2,2,3,"badan oke pikiran oke, tapi gak ada spark gitu"
12,3,2,4,"semuanya berjalan sesuai plan, langka tapi nyata hari ini"
2,4,5,3,"capek banget, tugas numpuk kayak ga ada habisnya"
5,2,3,3,"anxious dari pagi, banyak hal yang bikin khawatir"
4,2,2,4,"ya gini-gini aja, standar banget hari ini mah"
7,5,5,3,"overthinking parah tadi malem, jadinya kurang tidur dan lesu"
7,2,3,1,"gak mood sama sekali, males banget ngapa-ngapain hari ini"
9,5,5,2,lelah ngejar semuanya tapi kayak ga pernah sampe
2,1,1,5,finally kelar juga projek yang udah molor berminggu-minggu
6,1,1,4,"dengerin playlist favorit sambil ngerjain tugas, efeknya luar biasa"
8,2,1,5,cuaca cerah bikin hati ikutan happy ga keruan
10,3,3,2,"semua hal kerasa berat dan susah hari ini, capek"
5,1,2,4,"hari ini chill tapi tetep produktif, perfect combo"
10,4,4,3,"gak banyak drama hari ini, adem ayem aja"
9,4,3,3,"ngerjain kewajiban, setelah itu ya sudah lah"
8,3,3,3,"merasa gagal hari ini, padahal udah usaha sebisa mungkin"
10,3,4,2,"gak mood sama sekali, males banget ngapa-ngapain hari ini"
7,2,1,5,pagi tadi olahraga dulu jadinya badan enak banget
8,3,3,1,"merasa gagal hari ini, padahal udah usaha sebisa mungkin"
9,5,4,1,nangis di kamar mandi karena udah gak tahan stressnya
8,4,5,3,kerja keras dikit tapi hasilnya ya segitu-gitu aja
12,3,4,1,"gak mood sama sekali, males banget ngapa-ngapain hari ini"
6,1,2,5,seneng bgt dapet nilai bagus pas ujian tadi
5,2,3,3,gak ngerti kenapa ngerasa hampa gini dari tadi pagi
5,2,1,3,"pikiran jernih banget hari ini, bisa fokus full"
7,5,4,2,ngerasa gak ada yang ngerti apa yang aku rasain hari ini
9,1,1,5,ngerasa punya achievement kecil tapi berarti banget buat aku
10,5,5,1,"emotional banget hari ini, gampang baper sama hal kecil"
4,2,2,4,alhamdulillah hari ini lancar banget ga ada hambatan
10,1,1,5,"happy banget hari ini, banyak hal baik terjadi"
4,2,3,1,"half-half hari ini, sebagian menyenangkan sebagian meh"
9,5,4,1,"semua hal kerasa berat dan susah hari ini, capek"
6,1,1,5,cuaca cerah bikin hati ikutan happy ga keruan
8,3,3,5,ngerasa punya achievement kecil tapi berarti banget buat aku
6,2,2,3,"badan oke pikiran oke, tapi gak ada spark gitu"
7,3,2,3,alhamdulillah hari ini lancar banget ga ada hambatan
11,5,5,1,"badan oke tapi hati hancur, ga tau kenapa juga"
12,4,4,2,pengen kabur dari semua tanggung jawab ini sesaat aja
5,3,2,4,ngerjain hal yang aku suka bikin waktu cepet banget berlalu
5,1,1,4,belajar hal baru hari ini dan rasanya nagih banget
6,5,5,2,"gak mood sama sekali, males banget ngapa-ngapain hari ini"
7,5,5,1,pengen kabur dari semua tanggung jawab ini sesaat aja
7,3,2,5,dapat apresiasi dari dosen bikin semangat dobel hari ini
8,4,5,1,"bad day banget, hampir nangis beberapa kali hari ini"
4,5,5,2,"emotional banget hari ini, gampang baper sama hal kecil"
5,1,1,5,"pikiran jernih banget hari ini, bisa fokus full"
10,1,2,4,"pikiran jernih banget hari ini, bisa fokus full"
7,5,5,2,"kesal sama diri sendiri, harusnya bisa lebih baik dari ini"
4,1,1,5,"ngerasa hidup hari ini, bukan cuma ngejalanin rutinitas doang"
7,4,5,1,gak sanggup lagi pura-pura baik-baik aja di depan semua orang
8,5,5,1,"semua orang kayak nyebelin hari ini, atau mungkin aku yang sensitif"
10,3,4,1,"pikiran gelap dateng lagi, susah diusir pergi"
5,3,4,5,"produktif parah hari ini, kayak mesin yang ga berhenti"
11,3,3,5,semangat banget ngerjain tugas karena topiknya menarik bgt
6,2,2,5,belajar hal baru hari ini dan rasanya nagih banget
8,2,1,4,excited karena dapet kesempatan baru yang udah lama ditunggu
7,2,1,5,alhamdulillah hari ini lancar banget ga ada hambatan
8,1,2,4,"hari ini chill tapi tetep produktif, perfect combo"
6,2,2,4,"menjalani hari ini tanpa ekspektasi, hasilnya ya segini"
5,1,1,4,"bisa bantu temen yang lagi kesusahan, hati jadi hangat"
11,3,2,4,finally kelar juga projek yang udah molor berminggu-minggu
6,5,5,1,nangis di kamar mandi karena udah gak tahan stressnya
4,4,5,3,"semua orang kayak nyebelin hari ini, atau mungkin aku yang sensitif"
8,2,3,2,"hari ini so-so aja, antara males dan mau usaha"
4,2,2,3,semangat banget ngerjain tugas karena topiknya menarik bgt
11,3,4,3,"antara pengen rebahan dan harus produktif, pilih tengah-tengah"
8,4,4,3,"menjalani hari ini tanpa ekspektasi, hasilnya ya segini"
5,1,2,4,alhamdulillah hari ini lancar banget ga ada hambatan
6,5,5,2,"rasanya pengen pause semuanya, istirahat total dari dunia"
9,5,4,1,gak ngerti kenapa ngerasa hampa gini dari tadi pagi
3,5,5,3,"exhausted total, jalan aja udah kayak zombie"
4,2,3,2,"makan oke, kelas oke, tugas oke — semua oke doang"
7,4,5,3,"gak banyak ngomong hari ini, lebih banyak mikir sendiri"
5,1,2,5,"hari ini chill tapi tetep produktif, perfect combo"
12,1,1,5,"hari ini berasa ringan banget, kayak abis lepas beban"
8,4,4,2,"hari ini berat banget, ngerasa down dari pagi"
7,3,2,5,"happy banget hari ini, banyak hal baik terjadi"
1,1,1,5,"hari ini chill tapi tetep produktif, perfect combo"
5,3,2,3,"ngejalanin rutinitas seperti biasa, gak naik gak turun"
9,1,1,4,pagi tadi olahraga dulu jadinya badan enak banget
10,2,3,4,"hari ini fun banget, belajar sambil ketawa-ketawa sama temen"
3,5,5,3,"badan oke tapi hati hancur, ga tau kenapa juga"
12,5,4,2,"susah fokus banget, pikiran lari kemana-mana terus"
7,3,4,2,"mood jelek dari bangun tidur, dan terus gitu sampe malem"
4,5,5,1,"frustrated bgt, usaha keras tapi hasilnya mengecewakan terus"
7,4,5,1,"semua hal kerasa berat dan susah hari ini, capek"
10,3,2,3,"cukup lah hari ini, tidak lebih tidak kurang"
2,1,1,5,"mood on fire dari pagi, semua kerasa ringan"
6,1,1,5,"hari ini berasa ringan banget, kayak abis lepas beban"
7,2,2,5,semangat banget ngerjain tugas karena topiknya menarik bgt
5,3,4,2,"ya jalani aja, toh besok juga bakal ada hari baru"
5,3,3,5,"happy banget hari ini, banyak hal baik terjadi"
7,4,4,2,lelah ngejar semuanya tapi kayak ga pernah sampe
7,3,3,4,"ya jalani aja, toh besok juga bakal ada hari baru"
6,2,3,2,"antara pengen rebahan dan harus produktif, pilih tengah-tengah"
9,1,2,4,"dengerin playlist favorit sambil ngerjain tugas, efeknya luar biasa"
4,2,3,4,"semuanya berjalan sesuai plan, langka tapi nyata hari ini"
7,4,3,5,"hari ini seger banget, semua tugas kelar on time"
7,3,2,3,"susah fokus banget, pikiran lari kemana-mana terus"
4,2,3,2,pengen kabur dari semua tanggung jawab ini sesaat aja
6,2,3,4,"antara pengen rebahan dan harus produktif, pilih tengah-tengah"
2,4,4,3,"capek banget, tugas numpuk kayak ga ada habisnya"
9,3,4,5,"mood on fire dari pagi, semua kerasa ringan"
7,3,2,5,"pikiran jernih banget hari ini, bisa fokus full"
9,1,1,3,"hari ini penuh tawa, lupa sama capek dan penat"
5,4,5,1,"bad day banget, hampir nangis beberapa kali hari ini"
3,3,2,4,"produktif parah hari ini, kayak mesin yang ga berhenti"
7,3,2,2,"ngerasa sendiri padahal dikelilingin banyak orang, aneh banget"
6,5,5,1,"kesal sama diri sendiri, harusnya bisa lebih baik dari ini"
4,2,3,4,seneng bgt dapet nilai bagus pas ujian tadi
6,3,2,3,ngerasa punya achievement kecil tapi berarti banget buat aku
4,1,1,3,"bisa bantu temen yang lagi kesusahan, hati jadi hangat"
5,4,3,3,"gak tau mau bilang apa, rasanya ya begitulah"
4,3,3,2,"ngikutin jadwal aja, autopilot mode sepanjang hari"
9,3,3,5,"pulang lebih awal, sempet me time yang udah lama kangen"
4,1,1,5,ngerasa punya achievement kecil tapi berarti banget buat aku
9,5,4,2,"down parah hari ini, semangat nol besar"
6,3,3,3,"kesal sama diri sendiri, harusnya bisa lebih baik dari ini"
9,3,2,1,"susah fokus banget, pikiran lari kemana-mana terus"
11,4,5,2,"gak mood sama sekali, males banget ngapa-ngapain hari ini"
6,4,3,2,"frustrated bgt, usaha keras tapi hasilnya mengecewakan terus"
3,5,5,1,"mood jelek dari bangun tidur, dan terus gitu sampe malem"
6,5,5,1,"tugas segunung, waktu secuil, otak udah mati duluan"
7,4,4,1,"semua hal kerasa berat dan susah hari ini, capek"
7,5,4,2,"emotional banget hari ini, gampang baper sama hal kecil"
7,3,3,3,"gak banyak drama hari ini, adem ayem aja"
5,4,4,1,"merasa gagal hari ini, padahal udah usaha sebisa mungkin"
9,1,1,5,"bisa bantu temen yang lagi kesusahan, hati jadi hangat"
5,2,3,4,ngerasa punya achievement kecil tapi berarti banget buat aku
4,4,4,4,"makan oke, kelas oke, tugas oke — semua oke doang"
8,2,2,2,"rasanya pengen pause semuanya, istirahat total dari dunia"
6,3,4,3,lelah ngejar semuanya tapi kayak ga pernah sampe
6,4,5,3,"hari ini berat banget, ngerasa down dari pagi"
5,1,1,5,semangat banget ngerjain tugas karena topiknya menarik bgt
6,2,2,4,"menjalani hari ini tanpa ekspektasi, hasilnya ya segini"
7,2,1,4,"fine-fine aja sih, cuma capek biasa yang wajar"
4,4,5,2,"semua salah hari ini, dimulai dari bangun telat sampe tugas error"
7,1,2,4,excited karena dapet kesempatan baru yang udah lama ditunggu
9,5,5,2,"anxious dari pagi, banyak hal yang bikin khawatir"
12,5,4,1,"overthinking parah tadi malem, jadinya kurang tidur dan lesu"
8,3,2,4,ngerasa punya achievement kecil tapi berarti banget buat aku
9,2,3,3,"half-half hari ini, sebagian menyenangkan sebagian meh"
4,2,1,5,excited karena dapet kesempatan baru yang udah lama ditunggu
12,3,3,2,"burnout parah, udah gak sanggup lagi kayaknya"
6,1,1,3,"kadang bosen kadang oke, selang-seling gitu rasanya"
5,4,4,4,"antara pengen rebahan dan harus produktif, pilih tengah-tengah"
8,1,1,5,"hari ini penuh tawa, lupa sama capek dan penat"
7,5,4,1,"tugas segunung, waktu secuil, otak udah mati duluan"
6,4,3,2,"semua orang kayak nyebelin hari ini, atau mungkin aku yang sensitif"
9,3,4,3,"bisa bantu temen yang lagi kesusahan, hati jadi hangat"
10,2,2,3,hari ini terasa panjang tapi ya udah dijalanin aja
5,3,2,2,gak ngerti kenapa ngerasa hampa gini dari tadi pagi
3,3,4,1,"hari ini berat banget, ngerasa down dari pagi"
6,2,3,5,"hari ini seger banget, semua tugas kelar on time"
4,4,5,2,lelah ngejar semuanya tapi kayak ga pernah sampe
4,3,3,4,"lunch enak, cuaca oke, tugas beres — hari sempurna"
1,2,2,5,dapet feedback positif yang bikin makin yakin sama diri sendiri
8,2,1,4,dapet feedback positif yang bikin makin yakin sama diri sendiri
5,2,1,5,"hari ini fun banget, belajar sambil ketawa-ketawa sama temen"
5,1,2,3,dapat apresiasi dari dosen bikin semangat dobel hari ini
8,2,2,3,"semuanya berjalan sesuai plan, langka tapi nyata hari ini"
12,3,3,4,"gak banyak drama hari ini, adem ayem aja"
6,1,1,3,"mood on fire dari pagi, semua kerasa ringan"
9,5,5,2,"overthinking parah tadi malem, jadinya kurang tidur dan lesu"
7,5,4,1,"emotional banget hari ini, gampang baper sama hal kecil"
4,3,3,3,"antara pengen rebahan dan harus produktif, pilih tengah-tengah"
8,2,1,4,ngerasa punya achievement kecil tapi berarti banget buat aku
8,2,1,5,"hari ini seger banget, semua tugas kelar on time"
7,3,2,3,"mood normal, tidak galau tidak juga bahagia berlebihan"
2,4,4,1,"gak mood sama sekali, males banget ngapa-ngapain hari ini"
3,5,4,1,"anxious dari pagi, banyak hal yang bikin khawatir"
3,1,1,5,"hari ini penuh tawa, lupa sama capek dan penat"
9,5,5,2,"badan oke tapi hati hancur, ga tau kenapa juga"
5,1,2,3,ngerjain hal yang aku suka bikin waktu cepet banget berlalu
7,1,1,5,"produktif parah hari ini, kayak mesin yang ga berhenti"
6,3,4,3,"cape hati, bukan cape badan — itu yang paling melelahkan"
12,2,3,1,"mood jelek dari bangun tidur, dan terus gitu sampe malem"
8,1,1,5,dapet feedback positif yang bikin makin yakin sama diri sendiri
12,4,4,2,"hari ini berat banget, ngerasa down dari pagi"
9,4,5,2,"burnout parah, udah gak sanggup lagi kayaknya"
6,5,5,2,"kesal sama diri sendiri, harusnya bisa lebih baik dari ini"
10,4,5,1,nangis di kamar mandi karena udah gak tahan stressnya
4,5,4,1,"cape hati, bukan cape badan — itu yang paling melelahkan"
6,2,2,4,seneng bgt dapet nilai bagus pas ujian tadi
9,5,4,2,"kesal sama diri sendiri, harusnya bisa lebih baik dari ini"
3,3,3,3,"hari ini fun banget, belajar sambil ketawa-ketawa sama temen"
6,2,1,4,"mood on fire dari pagi, semua kerasa ringan"
8,1,2,4,seneng bgt dapet nilai bagus pas ujian tadi
9,1,1,4,"ketemu temen lama, ngobrol sampe lupa waktu deh"
8,4,3,3,"tugas segunung, waktu secuil, otak udah mati duluan"
5,2,1,5,"semuanya berjalan sesuai plan, langka tapi nyata hari ini"
7,1,1,5,"mood on fire dari pagi, semua kerasa ringan"
5,5,4,3,"rasanya pengen pause semuanya, istirahat total dari dunia"
7,3,3,2,"half-half hari ini, sebagian menyenangkan sebagian meh"
9,1,1,4,"ketemu temen lama, ngobrol sampe lupa waktu deh"
5,1,1,4,"ketemu temen lama, ngobrol sampe lupa waktu deh"
8,3,4,5,"pikiran jernih banget hari ini, bisa fokus full"
5,4,5,1,"hari ini berat banget, ngerasa down dari pagi"
2,4,3,3,"semua orang kayak nyebelin hari ini, atau mungkin aku yang sensitif"
9,3,2,3,"menjalani hari ini tanpa ekspektasi, hasilnya ya segini"
7,3,2,5,"pikiran jernih banget hari ini, bisa fokus full"
4,2,3,5,"produktif parah hari ini, kayak mesin yang ga berhenti"
8,5,5,3,lelah ngejar semuanya tapi kayak ga pernah sampe
4,1,2,4,"ketemu temen lama, ngobrol sampe lupa waktu deh"
11,2,3,1,"semua orang kayak nyebelin hari ini, atau mungkin aku yang sensitif"
12,2,3,5,dapet feedback positif yang bikin makin yakin sama diri sendiri
5,2,3,4,dapet feedback positif yang bikin makin yakin sama diri sendiri
8,2,2,4,semangat banget ngerjain tugas karena topiknya menarik bgt
9,2,1,3,"hari ini seger banget, semua tugas kelar on time"
3,2,2,5,ngerjain hal yang aku suka bikin waktu cepet banget berlalu
12,4,5,2,"overthinking parah tadi malem, jadinya kurang tidur dan lesu"
5,2,2,4,"standar banget, kayak hari-hari sebelumnya yang mirip"
5,1,1,5,pagi tadi olahraga dulu jadinya badan enak banget
5,5,5,1,"exhausted total, jalan aja udah kayak zombie"
6,1,1,5,excited karena dapet kesempatan baru yang udah lama ditunggu
4,4,4,3,"makan oke, kelas oke, tugas oke — semua oke doang"
5,1,1,5,"lunch enak, cuaca oke, tugas beres — hari sempurna"
11,5,4,1,"mood jelek dari bangun tidur, dan terus gitu sampe malem"
11,5,4,2,"overwhelmed banget, kepala udah penuh mau meledak rasanya"
9,5,4,2,pengen balik ke kasur dan ga keluar selamanya rasanya
